split_regime,design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high,homogeneous_normalized_oracle_opportunity_mean,homogeneous_normalized_oracle_opportunity_n_seed_blocks,homogeneous_normalized_oracle_opportunity_n_outer_units,homogeneous_normalized_oracle_opportunity_low,homogeneous_normalized_oracle_opportunity_high,homogeneous_normalized_selected_gain_mean,homogeneous_normalized_selected_gain_n_seed_blocks,homogeneous_normalized_selected_gain_n_outer_units,homogeneous_normalized_selected_gain_low,homogeneous_normalized_selected_gain_high,homogeneous_normalized_cross_fitted_gap_mean,homogeneous_normalized_cross_fitted_gap_n_seed_blocks,homogeneous_normalized_cross_fitted_gap_n_outer_units,homogeneous_normalized_cross_fitted_gap_low,homogeneous_normalized_cross_fitted_gap_high
scaffold,equal_K,Classical multiview,esol,regression,16,shared_morgan_linear,2.2439746887799368,5,15,2.2257967108585115,2.262657938692011,2.1907526338180223,5,15,2.1907526338180223,2.1907526338180223,0.05322205496191429,5,15,0.03504407704048907,0.07190530487398891,0.023128246813300425,5,15,0.014504683311695476,0.031751810314905385,-0.1487179487179487,5,15,-0.23076923076923075,0.01538461538461539,-0.03605713097615263,5,15,-0.05779259526236562,-0.015529192483618143,0.010533210525392578,5,15,0.010533210525392578,0.010533210525392578,6.688762873310283,5,15,6.358710546776029,7.109705666689355,0.3282743497142508,5,15,0.30990917464567314,0.34383704349486344,1181.787658971303,5,15,1115.6730287244234,1245.2943788381751,0.9768717531866891,5,15,0.9682481896850799,0.9854953166882983,1.735829354357799,5,15,1.7143307541817954,1.7573279545338025,1.69466572003815,5,15,1.6900216747453514,1.6994184549989098,0.012467420700670164,5,15,0.01242122583453874,0.012516164201615382
scaffold,equal_K,Classical multiview,esol,regression,32,shared_morgan_linear,2.259489925753526,5,15,2.2396171744763693,2.279362677030682,2.1787075479202,5,15,2.160153242536901,2.195457016190524,0.08078237783332574,5,15,0.04608772865702303,0.11572280028362023,0.03751809869595725,5,15,0.019911538208173818,0.055124659183740675,0.04367816091954023,5,15,-0.10344827586206898,0.19080459770114944,0.017681530059416955,5,15,-0.014317408449881497,0.050952968235581896,0.02756121354314119,5,15,-0.007187568950271797,0.05486733544761552,18.433431006638173,5,15,16.953865306781754,19.88553412658317,0.11898235347712882,5,15,0.11049856809582967,0.12882201569901977,428.3364725176637,5,15,397.79484514498677,459.38096171046635,0.9621370192757649,5,15,0.9445304587879726,0.9797435797635572,1.732775459730376,5,15,1.7124964666733469,1.753054452787405,1.6629474210256774,5,15,1.6452834353784258,1.6782765226617031,0.024035943027550282,5,15,-0.01181385561488331,0.05366710546996918
scaffold,equal_K,Homogeneous Morgan,bace,classification,4,shared_morgan_linear,0.05587724247055339,5,15,0.05156218475266368,0.06019230018844311,0.053594994916622674,5,15,0.04936905496306142,0.05812597784077141,0.002282247553930724,5,15,0.0,0.005614103772903294,0.04661634426327997,5,15,0.0,0.10891221361850331,1.0,5,15,1.0,1.0,0.8608695652173912,5,15,0.7217391304347824,1.0,0.0016659281094862847,5,15,0.0,0.004997784328458854,0.5728841866599388,5,15,0.5600561999715856,0.585712173348292,0.09505403955526287,5,15,0.08606960952952465,0.10403846958100109,342.1945423989463,5,15,309.8505943062887,374.53849049160397,0.9533836557357495,5,15,0.8910877863793614,1.0,1.0,5,15,1.0,1.0,0.9533836557357495,5,15,0.8910877863793614,1.0,0.03114793467819405,5,15,0.0,0.09344380403458215
scaffold,equal_K,Homogeneous Morgan,bace,classification,8,shared_morgan_linear,0.0756261649819128,5,15,0.06904382319760344,0.08198238008828912,0.07140160245646326,5,15,0.06673369853284643,0.07683140841514494,0.004224562525449524,5,15,0.00203255518425971,0.006037489777001371,0.05444943338707525,5,15,0.028245386885685307,0.07589753211181852,0.8933333333333333,5,15,0.6799999999999999,1.0,0.27975358725865823,5,15,0.08118097813838177,0.4951543835925175,0.00023453656516451513,5,15,-0.0014253278632368658,0.0015803372823535757,2.6105406932998436,5,15,2.462054546534393,2.7590268400652946,0.027454924901575965,5,15,0.02611093516710291,0.028486495270163566,98.83772964567349,5,15,93.99936660157049,102.55138297258884,0.9455505666121905,5,15,0.9241024678871778,0.9717546131139022,1.0,5,15,1.0,1.0,0.9455505666121905,5,15,0.9227366175477035,0.9702162946612652,0.0026155663099548592,5,15,-0.016978116907669715,0.02160625180167471
scaffold,equal_K,Homogeneous Morgan,bace,classification,16,shared_morgan_linear,0.07839925696384165,5,15,0.07352552356644629,0.08411738296141436,0.07250568089025208,5,15,0.0675035029128564,0.07973608367266058,0.005893576073589564,5,15,0.003938401402203718,0.00822552411229848,0.07525424634860772,5,15,0.049541167815018904,0.09849961125629682,0.26153846153846155,5,15,-0.06666666666666668,0.6717948717948717,0.06433827112251131,5,15,-0.042899777140330796,0.22413418448596606,0.0016665266177938807,5,15,-0.000738961886485227,0.0042037064056359204,16.248005693390347,5,15,14.292829773334478,18.27877510023148,0.004515937731213336,5,15,0.004094052279421145,0.004773752337928333,16.257375832368005,5,15,14.738588205916122,17.185508416542,0.9247457536503731,5,15,0.9015003887424446,0.9490987501461513,1.0,5,15,1.0,1.0,0.9247457536503731,5,15,0.9010975075390235,0.9490987501461513,0.02231649346021914,5,15,-0.006468238149164067,0.05110122506960235
scaffold,equal_K,Homogeneous Morgan,bace,classification,32,shared_morgan_linear,0.07916788124048925,5,15,0.0736929719571482,0.08484054042565228,0.07162348228078072,5,15,0.06660787231228141,0.07895812883859883,0.0075443989597085166,5,15,0.004459750957074856,0.010629046962342178,0.09241133932351307,5,15,0.05829632944332731,0.12552940460854084,0.33793103448275863,5,15,0.04367816091954024,0.7057471264367816,0.14819865976852964,5,15,0.029709363865307294,0.292261046296203,0.0025487252272652287,5,15,0.0003874063720874435,0.0048164237213619435,29.346602666672943,5,15,25.774427553274045,33.07500389352596,0.002477270474080853,5,15,0.0022523392150413783,0.0026243311027705604,8.91817370669107,5,15,8.09866086538349,9.437581396881226,0.9075886606752717,5,15,0.8755159965723217,0.9407819882301339,1.0,5,15,1.0,1.0,0.9075886606752717,5,15,0.8777825560296673,0.9417036705559145,0.02946276948908059,5,15,0.004762008052915666,0.05094097077873368
scaffold,equal_K,Homogeneous Morgan,clintox,classification,4,shared_morgan_linear,0.08045728269513222,5,15,0.07060766605574187,0.08832354772067791,0.08045728269513222,5,15,0.07060766605574187,0.08832354772067791,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,0.4673565667355426,5,15,0.45193312000483193,0.48290662677027213,0.17387051480987,5,15,0.15445555993577834,0.19041489740482986,625.9338533155321,5,15,556.040015768802,685.4936306573875,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0
scaffold,equal_K,Homogeneous Morgan,clintox,classification,8,shared_morgan_linear,0.10407054692035977,5,15,0.08789404918520452,0.11691264015116828,0.08900090372456099,5,15,0.0772119011034618,0.10035754910372867,0.015069643195798807,5,15,0.009566644928161883,0.02073622287183956,0.1819956636502928,5,15,0.12074484113628528,0.24653494704846263,0.5733333333333334,5,15,0.4666666666666666,0.7866666666666667,0.39755089775373753,5,15,0.296581774472241,0.5203966644128916,-0.006321931243776682,5,15,-0.011850123842761014,-0.0018443298540092262,2.38224896006286,5,15,2.228700093311877,2.5467041934917978,0.03731912838334835,5,15,0.03267808367198679,0.042812380837706186,134.34886218005408,5,15,117.64110121915242,154.12457101574225,0.8180043363472432,5,15,0.7534650529475366,0.8792551588621305,1.0,5,15,1.0,1.0,0.8180043363472432,5,15,0.7534650529475366,0.8792551588621305,-0.030348111376738936,5,15,-0.06568470829374443,-0.0025033957818197893
scaffold,equal_K,Homogeneous Morgan,clintox,classification,16,shared_morgan_linear,0.11282449372969394,5,15,0.0982651748162118,0.12164734430407191,0.09094649156632091,5,15,0.07223212231647405,0.10332114299820203,0.02187800216337304,5,15,0.01781608740313252,0.026406483258122466,0.23706156352440186,5,15,0.15405100967245505,0.32007211737634866,0.09743589743589742,5,15,-0.06666666666666668,0.1794871794871795,0.1271265630862335,5,15,0.011271171659413003,0.2366759864793996,0.004492894436155667,5,15,-0.003942253669004092,0.011595194308981756,15.652435960023041,5,15,13.696138486530009,17.64443459348598,0.005849615763632051,5,15,0.004686634445137166,0.006944509644199785,21.05861674907538,5,15,16.871884002493797,24.98655240980809,0.7629384364727279,5,15,0.6799278826193645,0.8459489903260913,1.0,5,15,1.0,1.0,0.7629384364727279,5,15,0.6814028785428311,0.8459489903260913,0.06648997388422646,5,15,-0.03778629096048589,0.1704052052073839
scaffold,equal_K,Homogeneous Morgan,clintox,classification,32,shared_morgan_linear,0.12449323152090556,5,15,0.11384170104727413,0.13316988864786344,0.10275776636600134,5,15,0.09347199898520295,0.1123189241089316,0.021735465154904234,5,15,0.017381225647090055,0.026540837186313004,0.1975848786261159,5,15,0.13995608489512196,0.28295131043902366,0.04367816091954023,5,15,-0.10344827586206898,0.19080459770114944,0.10152709668719125,5,15,-0.0511742405009296,0.2542284338753121,0.00919655886979327,5,15,0.004629758941359892,0.012930991431454205,30.637570260069328,5,15,26.84152683319213,34.67425257342401,0.0033932182375484613,5,15,0.003043235979376395,0.0037897723148176063,12.21558565517446,5,15,10.955649525755021,13.669871554853689,0.7958876774001923,5,15,0.7145457545219146,0.8560194061678004,1.0,5,15,1.0,1.0,0.7958876774001923,5,15,0.7145457545219146,0.8560194061678004,0.10696140695292936,5,15,0.05045156216163649,0.17063089285339025
