split_regime,pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
similarity_cluster,Classical multiview,clintox,classification,16,registry_median_relative,15,16,10.84410862040273,7.791196059062823,0.20197943071532692,0.3824603223942481,"[0.025497354826283194, 0.025606789682331606, 0.02653507384936164, 0.02800101919279142, 0.029238843312092602, 0.03471881424479531, 0.035167848468501565, 0.04013058735692412, 0.04718013020140072, 0.05650846833664188, 0.06083377577810459, 0.08076534091940664, 0.11131854416819377, 0.1179665134489704, 0.2805308962142006]",0.6777567887751706
similarity_cluster,Classical multiview,clintox,classification,16,within_unit_rank,15,16,15.80753763037782,15.59939231297541,-0.008465750229037776,0.8617047372848494,"[0.053856546080303096, 0.05385654608030311, 0.0538728807304299, 0.0540462323235421, 0.0544571136092398, 0.05500996807411796, 0.05774525284275039, 0.0589204628805611, 0.059144981958799164, 0.06004190402480303, 0.06303004566057081, 0.06824111711813752, 0.06938148111740028, 0.07031199396312757, 0.07827435592124148, 0.08980911761467282]",0.9879711018986137
similarity_cluster,Classical multiview,clintox,classification,32,raw,15,32,12.28985228415202,5.783470785091151,0.34839766037043907,0.27740140171096045,"[0.008668793803467491, 0.008668793803467498, 0.0086687938034675, 0.008668793803467504, 0.008668793803467507, 0.008668793803467507, 0.008668793803467507, 0.00866879380346751, 0.008668793803467514, 0.008668793803467516, 0.00866879380346752, 0.008668793803467521, 0.008668793803467523, 0.008668793803467523, 0.008668793803467531, 0.008668793803467535, 0.008668793803467538, 0.008668793803467545, 0.010179245209426176, 0.011908452181631578, 0.012449164301658067, 0.01498952574208404, 0.01573146608481485, 0.01883489533993447, 0.020680867962630942, 0.026319398038741993, 0.029569180983210167, 0.0441289552084177, 0.05462622639743121, 0.07553764597387623, 0.135864003041054, 0.37314268507267323]",0.38405788387975065
similarity_cluster,Classical multiview,clintox,classification,32,row_centred,15,32,20.332355645006697,12.90875496932575,-0.04258250039186299,0.44323443316861133,"[0.01385107603651905, 0.013851076036519066, 0.013851076036519082, 0.013851076036519083, 0.013851076036519087, 0.013851076036519088, 0.01385107603651909, 0.013851076036519092, 0.013851076036519095, 0.0138510760365191, 0.0138510760365191, 0.0138510760365191, 0.013851076036519102, 0.013851076036519104, 0.013851076036519108, 0.013851076036519111, 0.013851076036519118, 0.013851076036519158, 0.015600755332142023, 0.016742706797864944, 0.018990190978336974, 0.020717847899856593, 0.022323361268247608, 0.027140499735398192, 0.028484733315371265, 0.03430322589586324, 0.04053983724570528, 0.052868282923750023, 0.06939272802986104, 0.07558334822800947, 0.14501754250606602, 0.18297557118618357]",0.6353861139064593
similarity_cluster,Classical multiview,clintox,classification,32,shared_morgan_linear_relative,15,32,3.9407346016499116,1.8961458805598455,0.7391006400297898,0.09831397559333319,"[0.003171418567526848, 0.003171418567526857, 0.003171418567526858, 0.0031714185675268615, 0.0031714185675268624, 0.003171418567526866, 0.003171418567526872, 0.0031714185675268745, 0.0031714185675268763, 0.0031714185675268806, 0.003171418567526884, 0.0031714185675268862, 0.003171418567526889, 0.0031714185675268923, 0.0031714185675269005, 0.003171418567526901, 0.003171418567526914, 0.003629015358965137, 0.004552767569217779, 0.004956653430890983, 0.005290777331705555, 0.0066751856561723475, 0.007323340532265127, 0.009639001476253569, 0.012185456471023304, 0.01999040704416699, 0.022867802695119635, 0.0235394202818466, 0.03907289132931487, 0.065613503078797, 0.7207496620963042]",0.12314795630155974
similarity_cluster,Classical multiview,clintox,classification,32,fixed_morgan_rf_relative,15,32,7.788852384164303,3.4482069756488736,0.4827783638929798,0.17688611279972868,"[0.005706003638700891, 0.0057060036387009015, 0.005706003638700909, 0.005706003638700913, 0.005706003638700916, 0.005706003638700916, 0.0057060036387009214, 0.0057060036387009214, 0.005706003638700923, 0.0057060036387009275, 0.005706003638700931, 0.005706003638700932, 0.005706003638700937, 0.00570600363870094, 0.0057060036387009405, 0.005706003638700941, 0.005706003638700948, 0.006817017319674497, 0.007420458808118011, 0.00879331725340394, 0.010575329234194979, 0.011288766607668711, 0.012913296543520062, 0.017544118783158088, 0.021261657054752272, 0.02484781717159073, 0.04247938012827959, 0.048214552084961365, 0.06366492494681532, 0.11032515327990039, 0.5168521489260463]",0.24340163700513448
similarity_cluster,Classical multiview,clintox,classification,32,registry_median_relative,15,32,14.885503648793698,7.82227775308734,0.22989247523434506,0.3147419458056872,"[0.010152965993731817, 0.01015296599373183, 0.010152965993731833, 0.010152965993731833, 0.010152965993731838, 0.01015296599373184, 0.010152965993731842, 0.010152965993731847, 0.010152965993731847, 0.010152965993731852, 0.010152965993731857, 0.010152965993731859, 0.01015296599373186, 0.010152965993731866, 0.010152965993731866, 0.010152965993731868, 0.01015296599373187, 0.011879696325118544, 0.013418228195201326, 0.015557922757828913, 0.016356129104660288, 0.019471197753205723, 0.02332353555935656, 0.0285865865004466, 0.0324161299592991, 0.044286680792944885, 0.04890739567893189, 0.06454228199767857, 0.08741654980742768, 0.11685102725231322, 0.3043862164221452]",0.46517198902480306
similarity_cluster,Classical multiview,clintox,classification,32,within_unit_rank,15,32,27.70912908047254,23.271717510657215,-0.01614171337861333,0.6646251003184932,"[0.02076953438495288, 0.020769534384952888, 0.02076953438495289, 0.020769534384952902, 0.020769534384952902, 0.02076953438495291, 0.020769534384952916, 0.020769534384952916, 0.020769534384952916, 0.02076953438495292, 0.02076953438495292, 0.02076953438495292, 0.020769534384952923, 0.02076953438495293, 0.02076953438495293, 0.020769534384952933, 0.02076953438495294, 0.020769534384952944, 0.022497192807920306, 0.02402599016557104, 0.02641761543833402, 0.02811171777086297, 0.028867580095505444, 0.029786929066621875, 0.030990385969460122, 0.037307867897786846, 0.04509371006377895, 0.050101509956924146, 0.05821954530712007, 0.06754254103598292, 0.07501050682764977, 0.10217528866732897]",0.8659102837647669
similarity_cluster,Classical multiview,esol,regression,4,raw,15,4,3.992820709164013,3.985709039481588,-0.02444612129616677,0.9007304630580327,"[0.2311757479451592, 0.23980729213611227, 0.2615800117728998, 0.2674369481458287]",0.9982051772910032
similarity_cluster,Classical multiview,esol,regression,4,row_centred,15,4,3.8661453216557575,3.735873415003601,-0.06714545986008313,0.7082338544565313,"[0.17705846361413283, 0.2166413139668583, 0.250273443005591, 0.3560267794134179]",0.9665363304139394
similarity_cluster,Classical multiview,esol,regression,4,shared_morgan_linear_relative,15,4,2.2655123064852303,1.8744088043323455,0.507711870303466,0.2872805964788606,"[0.12300059140983738, 0.17984122108343742, 0.6971581875067252]",0.5663780766213076
similarity_cluster,Classical multiview,esol,regression,4,fixed_morgan_rf_relative,15,4,4.0,4.0,0.0,1.0,"[0.25, 0.25, 0.25, 0.25]",1.0
similarity_cluster,Classical multiview,esol,regression,4,registry_median_relative,15,4,2.9999999999999996,3.0,0.0,1.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.7499999999999999
similarity_cluster,Classical multiview,esol,regression,4,within_unit_rank,15,4,2.0,2.0,0.0,1.0,"[0.5, 0.5]",0.5
