pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches,audit_fit_seconds_mean,audit_fit_seconds_low,audit_fit_seconds_high,selected_gain_per_audit_hour_mean
Homogeneous Morgan,clintox,classification,8,0.6909233093138181,0.3322638773272122,8,-0.0,-0.0,hom::order06,0.5333333333333333,0.3333333333333333,0.6,1,2.38224896006286,2.228700093311877,2.5467041934917978,134.34886218005408
Homogeneous Morgan,clintox,classification,16,2.1186492470699507,0.7641411905327385,16,-0.0,0.5665095065529053,hom::order06,0.2,0.2,2.0,2,15.65243596002304,13.696138486530009,17.644434593485975,21.05861674907538
Homogeneous Morgan,clintox,classification,32,2.3034884952192693,0.6646462857595241,32,-0.0,0.9709505944546688,hom::order27,0.2,0.0666666666666666,2.0,2,30.637570260069328,26.84152683319213,34.67425257342402,12.21558565517446
Modern-augmented,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0,110.4931665067949,110.39232404688762,110.59184638008398,2.712597829784282
Modern-augmented,clintox,classification,8,0.8532361505557784,0.4103198543713368,8,0.7766490138119515,-0.0,maccs__linear,0.6,0.6,1.0,2,113.737123420105,113.56955966015812,113.9317604866422,2.310000339614179
Modern-augmented,clintox,classification,16,1.0437570363314086,0.3764557750520712,16,0.9500685975366212,-0.0,maccs__random_forest,0.4666666666666667,0.4666666666666667,2.0,2,119.57206164007464,119.31827076021968,119.9324735198558,4.284121828146416
Modern-augmented,clintox,classification,32,0.3926744672275521,0.113301901310581,32,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2,186.47660509340156,182.3848337201441,191.08613832650784,3.4252262574804577
Classical multiview,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0,0.354980100039392,0.3469685533472019,0.3659522067134572,22324.973612511258
Classical multiview,esol,regression,8,-0.0,-0.0,8,-0.0,-0.0,rdkit2d__random_forest,1.0,1.0,0.0,0,2.0219858666804296,1.9986444066899505,2.056346826674415,3835.92005233162
Classical multiview,esol,regression,16,0.6365141682948128,0.2295739585136223,16,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2,6.688762873310283,6.352466566639484,7.112717373316019,1181.787658971303
Classical multiview,esol,regression,32,1.6170531525095535,0.4665829127958795,32,0.9709505944546688,0.7773048806327834,multiview__lightgbm,0.3333333333333333,0.3333333333333333,2.0,2,18.433431006638173,17.0456091867915,19.889034359937064,428.3364725176637
Homogeneous Morgan,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0,0.1782605933103082,0.1666540066013105,0.1917283266161871,28342.675879419887
Homogeneous Morgan,esol,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1,1.5003757599120324,1.4083762931016568,1.598949366714804,3131.2155925019915
Homogeneous Morgan,esol,regression,16,0.6365141682948128,0.2295739585136223,16,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1,12.914699686644596,11.428332933162649,14.401066440126549,372.8458648914967
Homogeneous Morgan,esol,regression,32,0.6365141682948128,0.1836591668108979,32,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1,20.6070654267678,18.456132873372788,22.75799798016281,232.1150894804664
