split_regime,design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high,homogeneous_normalized_oracle_opportunity_mean,homogeneous_normalized_oracle_opportunity_n_seed_blocks,homogeneous_normalized_oracle_opportunity_n_outer_units,homogeneous_normalized_oracle_opportunity_low,homogeneous_normalized_oracle_opportunity_high,homogeneous_normalized_selected_gain_mean,homogeneous_normalized_selected_gain_n_seed_blocks,homogeneous_normalized_selected_gain_n_outer_units,homogeneous_normalized_selected_gain_low,homogeneous_normalized_selected_gain_high,homogeneous_normalized_cross_fitted_gap_mean,homogeneous_normalized_cross_fitted_gap_n_seed_blocks,homogeneous_normalized_cross_fitted_gap_n_outer_units,homogeneous_normalized_cross_fitted_gap_low,homogeneous_normalized_cross_fitted_gap_high,record_type
scaffold,equal_K,Modern-augmented,esol,regression,32,shared_morgan_linear,2.2439746887799368,5,15,2.2257967108585115,2.262657938692011,2.1907526338180223,5,15,2.1907526338180223,2.1907526338180223,0.0532220549619142,5,15,0.035044077040489,0.0714000328833395,0.0215754995378697,5,15,0.0132885735061032,0.0303808134106566,-0.0298850574712643,5,15,-0.1034482758620689,0.1172413793103448,0.0344738221168324,5,15,0.0102236565539723,0.056229413740684,0.0105332105253925,5,15,0.0105332105253925,0.0105332105253925,138.7093435266521,5,15,137.77459710673045,139.87440323317813,0.0158245791031905,5,15,0.015687744666912,0.0159542769007743,56.96848477148593,5,15,56.47588080088351,57.43539684278771,0.9768717531866892,5,15,0.96824818968508,0.9854953166882984,1.7194405003072817,5,15,1.7018930721781185,1.7380052726341035,1.6788815341399634,5,15,1.6767738533908638,1.6812649834171445,0.0123298037360643,5,15,0.0123226475256905,0.0123361319625493,regime_summary
similarity_cluster,equal_K,Classical multiview,bace,classification,4,shared_morgan_linear,0.1231613890182598,5,15,0.1097784734043065,0.1365443046322132,0.0376399461816789,5,15,0.0178252008226619,0.05860293555311,0.0855214428365808,5,15,0.0622085661438247,0.108834319529337,0.6413815699797779,5,15,0.5540546616909833,0.7326315321532866,0.4666666666666667,5,15,-0.0666666666666666,1.0,0.0492753623188405,5,15,-0.0898550724637681,0.1652173913043477,0.0797004867553899,5,15,0.0511628137016902,0.1082381598090896,1.9823512333173607,5,15,1.859741313328656,2.1078380332949256,0.0190874552411132,5,15,0.0079783692313439,0.0332333432382748,68.71483886800766,5,15,28.722129232838228,119.39739194590696,-0.6652924183864151,5,14,-1.14884624818137,-0.0544840712994949,1.7454727274419426,5,11,1.3670836606593588,2.102146852702672,0.3644126963694317,5,11,-0.9809459766312522,1.4456830848234543,1.2513736707515772,5,11,0.4283341833639115,2.435026713430552,regime_summary
similarity_cluster,equal_K,Classical multiview,bace,classification,8,shared_morgan_linear,0.1622118175910622,5,15,0.1459173614917823,0.1785062736903421,0.1108662771341286,5,15,0.0982080976606524,0.1238477397633221,0.0513455404569336,5,15,0.0309901091890936,0.0735115538574757,0.2579952307729402,5,15,0.1599649447828926,0.3542960041714589,0.36,5,15,0.1466666666666666,0.4666666666666666,0.0637517842385996,5,15,-0.0755615656224175,0.2060701675306138,0.0117882227085654,5,15,0.0014842444483828,0.0224398287632181,5.983619753333428,5,15,5.748618613330956,6.2186208933359,0.0185250943809948,5,15,0.0163015859453891,0.0205067101380175,66.69033977158138,5,15,58.685709403401006,73.8241564968632,0.6691820408777299,5,15,0.5397945910313215,0.7985694907241383,1.4264963565309694,5,14,1.2169122669193233,1.6167217515859431,1.0402939020926345,5,14,0.851394247706267,1.2567654902136467,0.0739501318278695,5,14,0.0041742681705702,0.1790876458775811,regime_summary
similarity_cluster,equal_K,Classical multiview,bace,classification,16,shared_morgan_linear,0.1751564175096386,5,15,0.1625226765547298,0.1860998546923649,0.1247068408160124,5,15,0.1055367223488455,0.1438769592831794,0.0504495766936261,5,15,0.039971414741329,0.0597236956773611,0.2510717937039709,5,15,0.2045478755554965,0.2918366631840626,0.0153846153846153,5,15,-0.1487179487179487,0.1794871794871795,0.0030679479182666,5,15,-0.1030321222194722,0.1450851550288854,0.0210640315289632,5,15,0.0035397658866398,0.0385882971712866,15.127425766685825,5,15,14.577804413317546,15.598766886741696,0.0081865005064373,5,15,0.0069983955530436,0.009374605459831,29.47140182317452,5,15,24.98320294225152,33.74857965539177,0.6636243369526006,5,15,0.5586706079466557,0.7685780659585453,1.3761139463952998,5,15,1.2120864589731366,1.5522430250051154,0.8347447169360883,5,15,0.6334810643986215,1.057521373832083,0.3796014045636099,5,15,0.0617657660643108,0.7638705608522895,regime_summary
similarity_cluster,equal_K,Classical multiview,bace,classification,32,shared_morgan_linear,0.1763031434167581,5,15,0.1638914259336347,0.1867737148425818,0.121464891468065,5,15,0.1006308586156253,0.1415586155795613,0.054838251948693,5,15,0.0359930560993715,0.0736834477980145,0.2320104086624554,5,15,0.1558319720064479,0.3094648856851691,-0.0298850574712643,5,15,-0.1034482758620689,0.1172413793103448,-0.0004176311098782,5,15,-0.0559052342213695,0.0719402399848178,0.0243059808769107,5,15,0.003286104917333,0.047557892933964,33.21824372013022,5,15,30.623650013364387,37.17790460016113,0.0036552476526162,5,15,0.0029395675759832,0.0043102574619405,13.158891549418446,5,15,10.58244327353952,15.516926862985963,0.6649328701025525,5,15,0.539663051328381,0.7851078095028204,1.3548664663983718,5,15,1.1979162201364155,1.5428066695614573,0.8978889121091894,5,15,0.6891037491252419,1.1325761295962056,0.2927251123704401,5,15,0.0993858055308394,0.4623596261246349,regime_summary
similarity_cluster,equal_K,Classical multiview,clintox,classification,4,shared_morgan_linear,0.1169084770365933,5,15,0.108523620573482,0.1252933334997046,0.0931245996689209,5,15,0.0724252992604792,0.1138239000773626,0.0237838773676723,5,15,0.007779081453337,0.0397859944431966,0.2137357927219561,5,15,0.064396763149031,0.3630748222948813,1.0,5,15,1.0,1.0,0.3275362318840579,5,15,-0.0434782608695653,0.7217391304347825,0.0167122108257842,5,15,0.0042854142230873,0.0290402244349612,2.1220546133505795,5,15,2.0197091666748745,2.224400060026285,0.0437067621794337,5,15,0.0355697387318846,0.0518437856269828,157.3443438459616,5,15,128.05105943478492,186.63762825713823,0.768576643540489,5,15,0.6015500502307457,0.9356032368502326,1.700484805383541,5,15,1.5069490919921704,1.8563611292455435,1.3346002295385215,5,15,1.045817765423037,1.623382693654006,0.2346522001450666,5,15,0.0554910972653352,0.449175562314599,regime_summary
similarity_cluster,equal_K,Classical multiview,clintox,classification,8,shared_morgan_linear,0.1786252318800795,5,15,0.1631302354986565,0.1952915866004508,0.1672765736650778,5,15,0.1556831415903438,0.1817294094648665,0.0113486582150016,5,15,0.0074470939083127,0.015267557637277,0.0611766386488919,5,15,0.0431539613343236,0.0853407725917444,0.8933333333333333,5,15,0.6799999999999999,1.0,0.3184584178498985,5,15,0.1165201712869055,0.5456389452332657,0.0056965552810428,5,15,0.0047851521881992,0.0066079583738863,5.9391602599915725,5,15,5.781073566634827,6.097246953348317,0.0282760774562521,5,15,0.0265750441935571,0.0301572709537797,101.7938788425079,5,15,95.6701590968058,108.566175433607,0.9388233613507578,5,15,0.9158988728891516,0.956846038665429,1.6597403781638804,5,15,1.5408848254835834,1.7954246474607576,1.5586534049005238,5,15,1.4398006880236611,1.7030549893611724,0.0431660843029057,5,15,0.0257985257144434,0.0589609246173515,regime_summary
similarity_cluster,equal_K,Classical multiview,clintox,classification,16,shared_morgan_linear,0.2001020064385715,5,15,0.1884971363330089,0.2105194009799273,0.1955945904353107,5,15,0.186460490961876,0.2060975622436841,0.0045074160032608,5,15,0.0014085415054944,0.0078344272250089,0.0238575092837834,5,15,0.0081205606964066,0.0424016301102494,0.7538461538461539,5,15,0.5897435897435898,0.917948717948718,0.5852148898714354,5,15,0.4451418978047294,0.8007582440430475,0.0019440493124703,5,15,0.0001857120278172,0.0047060218112849,15.153202606679406,5,15,14.596869533365435,15.709535679993374,0.0130118376304614,5,15,0.0124989260273227,0.0135247492336001,46.84261546966127,5,15,44.99613369836208,48.68909724096046,0.976142490716088,5,15,0.95759836988952,0.991879439303544,1.7845699758755331,5,15,1.5883001832363388,2.031899672686423,1.741628034520276,5,15,1.5434052554427793,2.0049646821708653,0.0243412783729607,5,15,0.0027704096669612,0.0590488893038391,regime_summary
similarity_cluster,equal_K,Classical multiview,clintox,classification,32,shared_morgan_linear,0.2033468718025505,5,15,0.1923378711121094,0.2141108386780132,0.1936995166912064,5,15,0.1837302330030861,0.2045498874913692,0.009647355111344,5,15,0.0068832509795114,0.0129778497333899,0.0461797959962392,5,15,0.0315047819613478,0.0631099201430157,0.4114942528735632,5,15,0.1172413793103448,0.632183908045977,0.2591325153836579,5,15,0.0997973785253034,0.4184676522420124,0.0038391230565746,5,15,0.0012896899669753,0.006671387453936,31.3967421800131,5,15,30.745347293322748,32.18474997343728,0.0062134662182184,5,15,0.006056505050215,0.006400479511039,22.368478385586315,5,15,21.80341818077433,22.93388164168877,0.9537289380592118,5,15,0.9383002828941768,0.9684039520941894,1.66700511803859,5,15,1.5511304272932709,1.7816225710627407,1.5901975906176735,5,15,1.489241198648,1.6889749620529515,0.0324288693748291,5,15,-0.0065552761622834,0.0694628722201683,regime_summary
similarity_cluster,equal_K,Classical multiview,esol,regression,4,shared_morgan_linear,1.9285584097504065,5,15,1.815266861053284,2.0164310204009044,1.9285584097504065,5,15,1.8105692793723196,2.0164310204009044,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,0.557986126712057,5,15,0.5465839000535191,0.5692733600735658,3.4777256846966917,5,15,3.2260526130041773,3.6829288736812353,12519.81246490809,5,15,11536.039055040716,13258.602870120534,1.0,5,15,1.0,1.0,1.466926278403484,5,15,1.4219258375944404,1.5186068933103436,1.466926278403484,5,15,1.4219258375944404,1.5186068933103436,0.0,5,15,0.0,0.0,regime_summary
