anchor_scheme,pool,task,task_type,candidate_count,normalization,metric,normalized_mean,minimum_absolute_denominator,invalid_outer_units,normalized_low,normalized_high
registry_median_order_2,Modern-augmented,bace,classification,4,raw,selected_model_gain,0.1598118605601392,1.0,0,0.1119678046164784,0.212444555661976
shared_morgan_linear,Modern-augmented,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.8568400295933756,0.0137057478850158,0,0.0,2.570520088780127
shared_morgan_linear,Modern-augmented,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,2.506443713349516,0.0137057478850158,0,1.6883450590027649,3.495417034046168
shared_morgan_linear,Modern-augmented,bace,classification,4,endpoint_MAD,selected_model_gain,1.6381902826648211,0.0137057478850158,0,0.7438054021100563,2.3318409084369334
shared_morgan_linear,Modern-augmented,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.189326239941815,0.0297771282426013,0,0.0,0.5679787198254449
shared_morgan_linear,Modern-augmented,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,0.5876713896432211,0.0297771282426013,0,0.4081518171863922,0.7943937058926807
shared_morgan_linear,Modern-augmented,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.3938416294294951,0.0297771282426013,0,0.1719301636341703,0.5907710582148504
shared_morgan_linear,Modern-augmented,bace,classification,4,raw,cross_fitted_selection_gap,0.0117436334233963,1.0,0,0.0,0.035230900270189
shared_morgan_linear,Modern-augmented,bace,classification,4,raw,oracle_opportunity_gain,0.0343526856231514,1.0,0,0.0231400317216041,0.0479073046216267
shared_morgan_linear,Modern-augmented,bace,classification,4,raw,selected_model_gain,0.0224526230018869,1.0,0,0.0101944093168332,0.031959623599003
fixed_morgan_rf,Classical multiview,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.154647995665922,0.0140449497876955,0,-0.0840624351456927,0.4741711738746333
fixed_morgan_rf,Classical multiview,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,0.4801540865261661,0.0140449497876955,0,0.3002177517622165,0.6282578011107812
fixed_morgan_rf,Classical multiview,bace,classification,8,endpoint_MAD,selected_model_gain,0.1214716968615294,0.0140449497876955,0,-0.1899437562341097,0.4328871499571686
fixed_morgan_rf,Classical multiview,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,-0.2250898771283901,0.0002312005086411,0,-3.2333333333326464,3.5540212339819117
fixed_morgan_rf,Classical multiview,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,-0.1877725944660783,0.0002312005086411,0,-2.809009085690443,1.2461355190553176
fixed_morgan_rf,Classical multiview,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.3535055528678138,0.0002312005086411,0,-2.0121325904394034,2.6424527208157733
fixed_morgan_rf,Classical multiview,bace,classification,8,raw,cross_fitted_selection_gap,0.0021720233338956,1.0,0,-0.0011806526806526,0.0065152738939809
fixed_morgan_rf,Classical multiview,bace,classification,8,raw,oracle_opportunity_gain,0.0067437400356168,1.0,0,0.0042165432488751,0.0088238492703289
fixed_morgan_rf,Classical multiview,bace,classification,8,raw,selected_model_gain,0.0017060638830463,1.0,0,-0.0026677505187943,0.006079878284887
registry_median_order_4,Classical multiview,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.1113242798467636,0.0195107782137499,0,-0.0605128441171363,0.333932036057354
registry_median_order_4,Classical multiview,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,3.914136661413136,0.0195107782137499,0,3.616824040794161,4.440071629045855
registry_median_order_4,Classical multiview,bace,classification,8,endpoint_MAD,selected_model_gain,3.6559370090271415,0.0195107782137499,0,3.2703967471926667,4.312746437257795
registry_median_order_4,Classical multiview,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.0462047798537184,0.0258680555555556,0,-0.0165620511178353,0.1266454916848727
registry_median_order_4,Classical multiview,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,1.3314656179662447,0.0258680555555556,0,1.1699148986896908,1.493016337242799
registry_median_order_4,Classical multiview,bace,classification,8,homogeneous_audit_best,selected_model_gain,1.2203447685321438,0.0258680555555556,0,1.0755106083478154,1.3667657598061282
registry_median_order_4,Classical multiview,bace,classification,8,raw,cross_fitted_selection_gap,0.0021720233338956,1.0,0,-0.0010911562562772,0.0066597103278418
registry_median_order_4,Classical multiview,bace,classification,8,raw,oracle_opportunity_gain,0.0763678522991392,1.0,0,0.0705670516980936,0.0863528126317938
registry_median_order_4,Classical multiview,bace,classification,8,raw,selected_model_gain,0.0713301761465687,1.0,0,0.0638079856054452,0.0835817283923584
shared_morgan_linear,Classical multiview,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.1584753602734985,0.0137057478850158,0,-0.0861428862224616,0.4859063791128652
shared_morgan_linear,Classical multiview,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,5.752843843511002,0.0137057478850158,0,5.274794880163943,6.286521675625274
shared_morgan_linear,Classical multiview,bace,classification,8,endpoint_MAD,selected_model_gain,5.385284466610598,0.0137057478850158,0,4.757704429006648,6.0555551232827804
shared_morgan_linear,Classical multiview,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.0294576313330026,0.0442274305555555,0,-0.0151521950489864,0.0876009353369476
