pool,task,task_type,candidate_count,oracle_opportunity_gain_mean,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_low,selected_model_gain_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,chance_adjusted_hit3_mean,chance_adjusted_mrr_mean,audit_fit_seconds_mean,entropy_rank,participation_rank,relative_entropy_rank,ledoit_wolf_shrinkage_alpha
+ChemBERTa,bbbp,classification,32,0.1225222813397977,0.1171621959849106,0.1265187012146548,0.1183870414432232,0.1138319753379117,0.1227875439969282,-0.0006694366385355,-0.0035839620279096,0.0019645914681083,1.0,0.5546251165967273,38.252999686810654,5.090724390018942,2.352313955924813,0.1590851371880919,0.1163747037478118
+D-MPNN,bbbp,classification,32,0.1227053481839248,0.1174143898984192,0.126753413323883,0.1174893401107392,0.1120822136004148,0.1227875439969282,0.0002282646939484,-0.0035166398315877,0.0042759713997186,0.7057471264367816,0.4579151419148737,199.06530510688123,4.028381154438389,1.9599889035670808,0.1258869110761996,0.094853943062796
+MoLFormer,bbbp,classification,32,0.1227053481839248,0.1172104796577085,0.1266107186979767,0.1183870414432232,0.1139865388895182,0.1227875439969282,-0.0006694366385355,-0.0035166398315877,0.0019645914681083,0.7057471264367816,0.4617326409154731,43.78277476686829,4.110353907066385,1.9766224668888843,0.1284485595958245,0.0977234427606289
Classical multiview,bbbp,classification,32,0.1227053481839248,0.1174143898984192,0.126753413323883,0.1174893401107392,0.1120822136004148,0.1227875439969282,0.0002282646939484,-0.0035166398315877,0.0039654098912273,0.7057471264367816,0.4579151419148737,29.619064100203104,3.589478163303858,1.8090705414324009,0.1121711926032455,0.0868682374540839
Full modern-augmented,bbbp,classification,32,0.1225222813397977,0.1171621959849106,0.1265187012146548,0.1183870414432232,0.1138319753379117,0.1227875439969282,-0.0006694366385355,-0.0035839620279096,0.0019645914681083,1.0,0.5546251165967273,224.7552299668469,5.6906415395734,2.562099421231612,0.1778325481116687,0.1223631340567301
+ChemBERTa,clintox,classification,16,0.1559970573671816,0.1434902410520662,0.168503873682297,0.1423288232793678,0.1383230084320304,0.1458390549532703,-0.0037535751834405,-0.0112653823638077,0.0046476924423538,0.7538461538461539,0.5238323286927783,10.89443353328388,9.321140068290315,5.6544835362626165,0.5825712542681447,0.3618405213386593
+D-MPNN,clintox,classification,16,0.1836419009835584,0.1705537677722112,0.1962352451227086,0.1760233925432957,0.162069890908149,0.1885349274751381,0.004768010451661,0.0,0.0128264899838248,0.8358974358974359,0.7754002023757991,119.51345426666472,9.102994785128017,5.10895521027716,0.5689371740705009,0.3491120410445714
+MoLFormer,clintox,classification,16,0.1699024102875574,0.1607859058872717,0.1787597272724985,0.1617110586027439,0.1467818959704276,0.1726822384088789,0.004762276889145,0.0,0.0109059115632457,0.7538461538461539,0.5210147685075286,37.30388677328204,8.273205698910594,4.452080603028153,0.5170753561819121,0.3153039151303799
Classical multiview,clintox,classification,16,0.1848248245891624,0.1717366913778152,0.196875508017069,0.1760233925432957,0.162069890908149,0.1885349274751381,0.004768010451661,0.0,0.0128264899838248,0.8358974358974359,0.7725826421905493,12.08095044658985,8.498472736474657,4.573971483058992,0.531154546029666,0.3373740338456057
Full modern-augmented,clintox,classification,16,0.1559970573671816,0.1434902410520662,0.168503873682297,0.1423288232793678,0.1386081846300564,0.1458390549532703,-0.0037535751834405,-0.0112653823638077,0.005421467475693,0.6717948717948719,0.5083357476739042,119.57206164007464,9.82682294222352,6.022847429041117,0.61417643388897,0.3743992273085386
+ChemBERTa,clintox,classification,32,0.1848248245891624,0.1717366913778152,0.196875508017069,0.1760233925432957,0.162069890908149,0.1885349274751381,0.004768010451661,0.0,0.0128264899838248,0.8528735632183908,0.7932188041341947,51.62193403334046,15.615389120767103,7.293929894761086,0.487980910023972,0.3882757431704464
+D-MPNN,clintox,classification,32,0.1878239247825148,0.176359990424661,0.1995485844514916,0.1719641220078469,0.16039414732403,0.1831711553032569,0.0088272809871098,0.0022425047873628,0.0159080971045353,0.5586206896551724,0.3583175718351309,145.66801899344816,12.976385032158584,5.293179012171697,0.4055120322549557,0.3533833828138706
+MoLFormer,clintox,classification,32,0.1855929685923492,0.1723716800149368,0.1968650328951575,0.1748888338866131,0.1612427402980882,0.1885349274751381,0.0059025691083436,0.0,0.0139610486405073,0.7057471264367816,0.6042526036045206,59.81964338003114,12.689080388729767,5.195028034685603,0.3965337621478052,0.3388538126714458
Classical multiview,clintox,classification,32,0.188421761317258,0.1762407424967353,0.1998498521456704,0.1720507977363609,0.160480823052544,0.1833445067602849,0.0087406052585958,0.0022425047873628,0.0158214213760213,0.4114942528735632,0.2517096006602701,39.74828209337235,12.401545001396094,4.9670768316427605,0.3875482812936279,0.348623529468643
Full modern-augmented,clintox,classification,32,0.1848248245891624,0.1717366913778152,0.1962352451227086,0.1760233925432957,0.162069890908149,0.1885349274751381,0.004768010451661,0.0,0.0128264899838248,0.8528735632183908,0.7945821966344088,186.47660509340156,13.956560835431084,6.35787573583163,0.4361425261072214,0.3241781252041181
+ChemBERTa,esol,regression,16,2.216243670599305,2.2082070781753007,2.2282261653121536,2.064809789296011,1.8843112098058448,2.158535078099611,0.1364760550474044,0.042750766243804,0.3169746345375697,0.4256410256410256,0.3040626342432914,3.412841519965632,6.752331212432909,4.269814205099372,0.4220207007770568,0.2049925093144515
+D-MPNN,esol,regression,16,2.2435799731699544,2.2250072796385463,2.262263223082029,2.1907526338180223,2.1907526338180223,2.1907526338180223,0.0105332105253925,0.0105332105253925,0.0105332105253925,-0.1487179487179487,-0.0129128865973147,113.5344074999642,4.17969883872355,2.8625925705157496,0.2612311774202219,0.1100168146318972
+MoLFormer,esol,regression,16,2.210959304040176,2.2078331025545266,2.212946160119853,2.1864868449397767,2.1864868449397767,2.1864868449397767,0.0147989994036381,0.0147989994036381,0.0147989994036381,0.1794871794871795,0.1195124421094273,15.384262086606274,6.449116084228082,4.230668294963822,0.4030697552642551,0.1868733571931865
