pool,pool_order,candidate,representation,family,source
Modern-augmented,8,molformer__linear,molformer,linear,new_nested_candidates
Modern-augmented,9,morgan512__random_forest,morgan512,random_forest,multiview_base
Modern-augmented,10,chemberta_mtr__linear_alt,chemberta_mtr,linear_alt,new_nested_candidates
Modern-augmented,11,maccs__random_forest,maccs,random_forest,multiview_base
Modern-augmented,12,chemberta_mlm__linear_alt,chemberta_mlm,linear_alt,new_nested_candidates
Modern-augmented,13,rdkit2d__random_forest,rdkit2d,random_forest,multiview_base
Modern-augmented,14,molformer__linear_alt,molformer,linear_alt,new_nested_candidates
Modern-augmented,15,multiview__random_forest,multiview,random_forest,multiview_base
Modern-augmented,16,chemberta_mtr__linear_strong,chemberta_mtr,linear_strong,new_nested_candidates
Modern-augmented,17,morgan512__lightgbm,morgan512,lightgbm,multiview_base
Modern-augmented,18,chemberta_mlm__linear_strong,chemberta_mlm,linear_strong,new_nested_candidates
Modern-augmented,19,maccs__lightgbm,maccs,lightgbm,multiview_base
Modern-augmented,20,molformer__linear_strong,molformer,linear_strong,new_nested_candidates
Modern-augmented,21,rdkit2d__lightgbm,rdkit2d,lightgbm,multiview_base
Modern-augmented,22,chemberta_mtr__linear_sparse,chemberta_mtr,linear_sparse,new_nested_candidates
Modern-augmented,23,multiview__lightgbm,multiview,lightgbm,multiview_base
Modern-augmented,24,chemberta_mlm__linear_sparse,chemberta_mlm,linear_sparse,new_nested_candidates
Modern-augmented,25,morgan512__extra_trees,morgan512,extra_trees,new_nested_candidates
Modern-augmented,26,molformer__linear_sparse,molformer,linear_sparse,new_nested_candidates
Modern-augmented,27,maccs__extra_trees,maccs,extra_trees,new_nested_candidates
Modern-augmented,28,chemberta_mtr__lightgbm,chemberta_mtr,lightgbm,new_nested_candidates
Modern-augmented,29,rdkit2d__extra_trees,rdkit2d,extra_trees,new_nested_candidates
Modern-augmented,30,chemberta_mlm__lightgbm,chemberta_mlm,lightgbm,new_nested_candidates
Modern-augmented,31,multiview__extra_trees,multiview,extra_trees,new_nested_candidates
Modern-augmented,32,molformer__lightgbm,molformer,lightgbm,new_nested_candidates
