split_regime,design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.6502459536655031,0.8328784512853064,0.8328784512853064,0.18263249761980327,0.18263249761980327,0.0,0.5977467470644242,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,159.360453299887,0.0011460339992640618,4.125722397350622,1.0,molformer__linear_alt,0.7961440812440496,-0.03673437004125679,0.18655982227864176,0.9789487114059707,0.9789487114059707,-0.19690397210172683,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,2,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.6502459536655031,0.8328784512853064,0.8563154554109808,0.20606950174547767,0.18263249761980327,0.0234370041256744,0.6211837511900986,0.037729583365203524,0,-0.10344827586206896,6,0.16666666666666666,0.12682797485739125,0.045625249850129876,201.06561470002634,0.0009083228770482522,3.2699623573737076,0.8862665075270473,rdkit2d__extra_trees,0.8352983179942874,0.002419866708981089,0.18655982227864176,0.9789487114059707,1.104575997278217,0.012970996002380553,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,3,4,4,shared_morgan_linear,chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,chemberta_mtr__linear,0.5089897936613266,0.4622476064081903,0.7710288494960028,0.26203905583467624,-0.04674218725313628,0.3087812430878125,0.3087812430878125,0.9999999999967615,1,1.0,3,0.3333333333333333,0.5208333333333334,-0.3913043478260871,149.1435769998934,-0.0003134039574038759,-1.1282542466539531,-0.17837870428989228,chemberta_mtr__linear,0.7710288494960028,0.3087812430878125,0.19595854267387103,-0.23853100056438034,1.33721680238652,1.5757478029509002,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,3,8,8,shared_morgan_linear,chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,chemberta_mtr__linear,0.5089897936613266,0.4622476064081903,0.7710288494960028,0.26203905583467624,-0.04674218725313628,0.3087812430878125,0.3087812430878125,0.9999999999967615,0,-0.6,6,0.16666666666666666,0.33973214285714287,-0.2621140410187064,151.68475809984375,-0.0003081534877905734,-1.1093525560460642,-0.17837870428989228,chemberta_mtr__linear,0.7710288494960028,0.3087812430878125,0.19798085126552278,-0.23609448567552532,1.3235575772085229,1.559652062884048,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,3,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,molformer__linear_alt,0.5089897936613266,0.6491768572060542,0.7743545991721176,0.265364805510791,0.14018706354472765,0.12517774196606335,0.3121069927639273,0.4010731731997582,0,-0.23076923076923078,10,0.1,0.21129556207681208,-0.14111187502618208,157.8669687998481,0.0008880075712511086,3.196827256503991,0.5282805429864247,molformer__linear_alt,0.7743545991721176,0.12517774196606335,0.22030524220305236,0.6363310384394718,1.2045324153757897,0.5682013769363178,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,11,3,32,32,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,molformer__linear_alt,0.5089897936613266,0.6491768572060542,0.7743545991721176,0.265364805510791,0.14018706354472765,0.12517774196606335,0.3121069927639273,0.4010731731997582,0,-0.10344827586206896,22,0.045454545454545456,0.12682797485739125,-0.09319289562621487,199.42521749978187,0.0007029555504678389,2.53063998168422,0.5282805429864247,rdkit2d__extra_trees,0.642533257496761,-0.00664359970929318,0.23116725124024384,0.6064313296654475,1.1479342514438036,-0.02873936370160289,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,23,1,4,4,shared_morgan_linear,chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,chemprop_dmpnn,0.6290384005077753,0.7901063154554109,0.7901063154554109,0.16106791494763562,0.16106791494763562,0.0,0.16106791494763562,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,146.0691004001419,0.0011026830076067144,3.969658827384172,1.0,chemberta_mtr__linear,0.754046334496985,-0.036059980958425886,0.12542050142811811,1.2842231781376507,1.2842231781376507,-0.28751265182186214,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,23,1,8,8,shared_morgan_linear,chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,rdkit2d__linear,0.6290384005077753,0.7901063154554109,0.8029276420184068,0.17388924151063156,0.16106791494763562,0.01282132656299595,0.17388924151063156,0.07373271889358561,0,-0.6,5,0.2,0.33973214285714287,-0.21162947937795812,148.7686770001892,0.0010826735721218437,3.8976248596386376,0.9262672811059903,molformer__linear,0.7767058076801016,-0.013400507775309323,0.1545303078387813,1.0423063100066745,1.1252759665246193,-0.08671766699183588,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,23,1,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,rdkit2d__linear,0.6290384005077753,0.7905902887972073,0.8029276420184068,0.17388924151063156,0.161551888289432,0.012337353221199554,0.17388924151063156,0.0709494912620819,0,-0.23076923076923078,13,0.07692307692307693,0.21129556207681208,-0.17037115387300727,155.1766514001065,0.001041083737996689,3.747901456788081,0.92905050873751,molformer__linear_alt,0.7768962234211361,-0.013694065376071207,0.1545303078387813,1.045438209169791,1.1252759665246193,-0.08861734353339916,True
similarity_cluster,equal_K,Modern-augmented,bace,classification,23,1,32,32,shared_morgan_linear,multiview__lightgbm,multiview,lightgbm,multiview__extra_trees,0.6290384005077753,0.795596635988575,0.8211996191685179,0.19216121866074265,0.16655823548079973,0.025602983179942918,0.20725166613773394,0.12353571701954048,0,-0.10344827586206896,6,0.16666666666666666,0.12682797485739125,0.045625249850129876,193.4604480001144,0.0008609420540611031,3.099391394619971,0.8667630057803466,rdkit2d__extra_trees,0.8093303713106949,0.013733735322119855,0.15936210726753408,1.0451558299312955,1.2058149955192676,0.08617942845763153,True
