design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
equal_K,Classical multiview,bbbp,classification,71,2,16,16,registry_median_order_8,multiview__extra_trees,multiview,extra_trees,rdkit2d__extra_trees,0.9168065146221356,0.9227557842031416,0.930892184104102,0.014085669481966434,0.005949269581006056,0.008136399900960378,0.12994167652480126,0.06261578362308425,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,12.37228889990365,0.0004808544020542865,1.7310758473954315,0.42236328124998046,multiview__extra_trees,0.9227557842031416,0.0,0.005825469751575163,1.021251475796852,2.4179456906728896,0.0,True
equal_K,Classical multiview,bbbp,classification,71,2,32,32,registry_median_order_16,multiview__extra_trees,multiview,extra_trees,rdkit2d__extra_trees,0.9227557842031416,0.9227557842031416,0.930892184104102,0.008136399900960378,0.0,0.008136399900960378,0.12994167652480126,0.06261578362308425,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,31.107582799508236,0.0,0.0,0.0,multiview__extra_trees,0.9227557842031416,0.0,0.04401771713114533,0.0,0.1848437500000053,0.0,True
equal_K,Classical multiview,bbbp,classification,71,3,4,4,registry_median_order_2,rdkit2d__linear,rdkit2d,linear,multiview__linear,0.8195851250199075,0.827651696129957,0.8577520305781176,0.03816690555821001,0.008066571110049492,0.030100334448160515,0.04711339385252422,0.6388912363592953,1,1.0,2,0.5,0.5208333333333334,-0.0434782608695653,1.7300375001505008,0.00466265679752477,16.78556447108917,0.21134988524932455,rdkit2d__linear,0.827651696129957,0.0,0.0,,,,False
equal_K,Classical multiview,bbbp,classification,71,3,8,8,registry_median_order_4,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8577520305781176,0.8784838350055741,0.8784838350055741,0.02073180442745659,0.02073180442745659,0.0,0.06784519827998081,0.0,1,1.0,1,1.0,0.33973214285714287,1.0,4.461052700411527,0.004647289736241875,16.73024305047075,1.0,multiview__random_forest,0.8784838350055741,0.0,0.04156314699792962,0.49880256729571754,0.49880256729571754,0.0,True
equal_K,Classical multiview,bbbp,classification,71,3,16,16,registry_median_order_8,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__extra_trees,0.8784838350055741,0.8792960662525882,0.8864588310240483,0.007974996018474179,0.0008122312470140169,0.007162764771460162,0.07582019429845499,0.09447040907295128,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,11.319634700368622,7.175419247297501e-05,0.25831509290271004,0.1018472291562871,multiview__extra_trees,0.8864588310240483,0.007162764771460162,0.024012581621277396,0.03382523627923055,0.33211739346708086,0.2982921571878503,True
equal_K,Classical multiview,bbbp,classification,71,3,32,32,registry_median_order_16,multiview__lightgbm_alt,multiview,lightgbm_alt,multiview__extra_trees,0.8864588310240483,0.8658305462653288,0.8864588310240483,0.0,-0.020628284758719473,0.020628284758719473,0.07582019429845499,0.27206847660198824,0,-0.10344827586206896,5,0.2,0.12682797485739125,0.0838002398561247,29.535682900284883,-0.0006984190894912575,-2.514308722168527,,multiview__extra_trees,0.8864588310240483,0.020628284758719473,0.09010989010989012,-0.2289236479321307,0.0,0.2289236479321307,True
equal_K,Classical multiview,clintox,classification,11,1,4,4,registry_median_order_2,maccs__linear,maccs,linear,rdkit2d__linear,0.8155635419786362,0.8155635419786362,0.8692223220525107,0.05365878007387448,0.0,0.05365878007387448,0.14051113107716873,0.38188277086762035,1,1.0,2,0.5,0.5208333333333334,-0.0434782608695653,1.7681560999481003,0.0,0.0,0.0,rdkit2d__linear,0.8692223220525107,0.05365878007387448,0.0,,,,False
equal_K,Classical multiview,clintox,classification,11,1,8,8,registry_median_order_4,maccs__random_forest,maccs,random_forest,rdkit2d__random_forest,0.788210042927024,0.9106019766397124,0.9152940001996608,0.12708395727263677,0.12239193371268842,0.004692023559948355,0.1865828092243188,0.0251471375065547,1,1.0,2,0.5,0.33973214285714287,0.2427315753887762,4.471519899903796,0.027371438896050013,98.53718002578005,0.9630793401413963,multiview__random_forest,0.9016172506738545,-0.008984725965857976,0.05860037935509621,2.0885860306643993,2.1686541737649154,-0.15332197614991402,True
equal_K,Classical multiview,clintox,classification,11,1,16,16,registry_median_order_8,multiview__lightgbm,multiview,lightgbm,multiview__lightgbm,0.9016172506738545,0.9384546271338724,0.9384546271338724,0.036837376460017945,0.036837376460017945,0.0,0.20974343615853042,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,12.29065510013606,0.002997185761042969,10.789868739754688,1.0,multiview__lightgbm,0.9384546271338724,0.0,0.04702006588799046,0.7834394904458587,0.7834394904458587,0.0,True
equal_K,Classical multiview,clintox,classification,11,1,32,32,registry_median_order_16,multiview__xgboost,multiview,xgboost,multiview__lightgbm,0.9275232105420784,0.934261755016472,0.9384546271338724,0.010931416591793974,0.006738544474393593,0.004192872117400381,0.20974343615853042,0.019990480723369532,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,39.07615680037998,0.00017244644883623937,0.6208072158104617,0.6164383561643879,multiview__lightgbm,0.9384546271338724,0.004192872117400381,0.044873714685035315,0.15016685205784383,0.24360400444938943,0.09343715239154557,True
