design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,nominal_candidate_count,budget_seconds,budget_utilization,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
equal_budget_from_K32,Homogeneous Morgan,esol,regression,53,2,32,24,shared_morgan_linear,hom::order03,morgan512,linear,hom::order20,-2.7056892486308697,-1.83137317308683,-1.776396085361342,0.9292931632695276,0.8743160755440398,0.054977087725487817,0.9292931632695276,0.059160112113601525,1,1.0,2,0.5,0.15733159073972944,0.40664679664576386,18.261986400233578,0.047876285546508614,172.35462796743104,0.9408398878863348,32,18.520464200002603,0.9860436651599159,hom::order03,-1.83137317308683,0.0,0.9292931632695276,0.9408398878863348,1.0,0.0,True
equal_budget_from_K16,Homogeneous Morgan,esol,regression,53,3,16,13,shared_morgan_linear,hom::order03,morgan512,linear,hom::order09,-3.6631839360178273,-1.4193838819025708,-1.3740696445038434,2.289114291513984,2.2438000541152565,0.04531423739872742,2.289114291513984,0.019795532956433336,0,-0.30000000000000004,7,0.14285714285714285,0.24462567347182732,-0.1347259590916066,3.5157394005218494,0.6382156919202271,2297.5764909128175,0.9802044670435579,16,6.424677600210995,0.5472242529969734,hom::order03,-1.4193838819025708,0.0,2.289114291513984,0.9802044670435579,1.0,0.0,True
equal_budget_from_K32,Homogeneous Morgan,esol,regression,53,3,32,23,shared_morgan_linear,hom::order03,morgan512,linear,hom::order09,-3.6631839360178273,-1.4193838819025708,-1.3740696445038434,2.289114291513984,2.2438000541152565,0.04531423739872742,2.289114291513984,0.019795532956433336,0,-0.15,9,0.1111111111111111,0.16236050048203654,-0.06118310967954344,18.374107000650834,0.12211750231103902,439.62300831974045,0.9802044670435579,32,18.520464200002603,0.9920975415210301,hom::order03,-1.4193838819025708,0.0,2.289114291513984,0.9802044670435579,1.0,0.0,True
equal_budget_from_K16,Homogeneous Morgan,esol,regression,71,1,16,13,shared_morgan_linear,hom::order09,morgan512,bagging,hom::order03,-2.565254914196176,-1.807770378049506,-1.5358168920779205,1.0294380221182555,0.75748453614667,0.27195348597158553,1.0294380221182555,0.2641766479653896,0,-0.30000000000000004,5,0.2,0.24462567347182732,-0.05907756181883279,3.513376499642616,0.2156001601945371,776.1605767003336,0.7358233520343538,16,6.424677600210995,0.5468564678680892,hom::order03,-1.5358168920779205,0.27195348597158553,1.0294380221182555,0.7358233520343538,1.0,0.2641766479656462,True
equal_budget_from_K32,Homogeneous Morgan,esol,regression,71,1,32,23,shared_morgan_linear,hom::order14,morgan512,boosting,hom::order03,-2.565254914196176,-1.7093423289853782,-1.5358168920779205,1.0294380221182555,0.8559125852107978,0.1735254369074577,1.0294380221182555,0.16856326770428495,0,-0.15,14,0.07142857142857142,0.16236050048203654,-0.1085573556473802,18.403681499883533,0.04650768299898118,167.42765879633222,0.8314367322955513,32,18.520464200002603,0.9936943967031315,hom::order03,-1.5358168920779205,0.1735254369074577,1.0294380221182555,0.8314367322955513,1.0,0.1685632677044487,True
equal_budget_from_K16,Homogeneous Morgan,esol,regression,71,2,16,13,shared_morgan_linear,hom::order03,morgan512,linear,hom::order09,-2.7056892486308697,-1.83137317308683,-1.798889053048622,0.9068001955822478,0.8743160755440398,0.032484120038208,0.9068001955822478,0.03582279778547515,1,1.0,2,0.5,0.24462567347182732,0.3380765238632295,3.6259680000366625,0.24112625250283495,868.0545090102058,0.9641772022144853,16,6.424677600210995,0.5643813161795981,hom::order03,-1.83137317308683,0.0,0.9068001955822478,0.9641772022144853,1.0,0.0,True
equal_budget_from_K32,Homogeneous Morgan,esol,regression,71,2,32,24,shared_morgan_linear,hom::order03,morgan512,linear,hom::order20,-2.7056892486308697,-1.83137317308683,-1.776396085361342,0.9292931632695276,0.8743160755440398,0.054977087725487817,0.9292931632695276,0.059160112113601525,1,1.0,2,0.5,0.15733159073972944,0.40664679664576386,18.4302659004461,0.04743914603656788,170.78092573164437,0.9408398878863348,32,18.520464200002603,0.995129803519909,hom::order03,-1.83137317308683,0.0,0.9292931632695276,0.9408398878863348,1.0,0.0,True
equal_budget_from_K16,Homogeneous Morgan,esol,regression,71,3,16,13,shared_morgan_linear,hom::order03,morgan512,linear,hom::order11,-3.6631839360178273,-1.4193838819025708,-1.387752454931648,2.275431481086179,2.2438000541152565,0.031631426970922805,2.275431481086179,0.013901287397065287,1,1.0,3,0.3333333333333333,0.24462567347182732,0.11743536515097264,3.2781578004360177,0.6844698122271038,2464.0913240175737,0.9860987126029287,16,6.424677600210995,0.5102447164552442,hom::order03,-1.4193838819025708,0.0,2.275431481086179,0.9860987126029287,1.0,0.0,True
equal_budget_from_K32,Homogeneous Morgan,esol,regression,71,3,32,23,shared_morgan_linear,hom::order03,morgan512,linear,hom::order11,-3.6631839360178273,-1.4193838819025708,-1.387752454931648,2.275431481086179,2.2438000541152565,0.031631426970922805,2.275431481086179,0.013901287397065287,0,-0.15,4,0.25,0.16236050048203654,0.10462675120788523,18.459369000280276,0.12155345364628596,437.5924331266295,0.9860987126029287,32,18.520464200002603,0.9967012058087443,hom::order03,-1.4193838819025708,0.0,2.275431481086179,0.9860987126029287,1.0,0.0,True
equal_budget_from_K16,Homogeneous Morgan,lipo,regression,11,1,16,15,shared_morgan_linear,hom::order14,morgan512,boosting,hom::order14,-1.1006515404902455,-0.9983857533554968,-0.9983857533554968,0.10226578713474865,0.10226578713474865,0.0,0.10226578713474865,0.0,1,1.0,1,1.0,0.22121526621526622,1.0,13.227913000388067,0.007731059852884464,27.83181547038407,1.0,16,16.326005600451026,0.8102357260016271,hom::order14,-0.9983857533554968,0.0,0.10226578713474865,1.0,1.0,0.0,True
equal_budget_from_K32,Homogeneous Morgan,lipo,regression,11,1,32,32,shared_morgan_linear,hom::order23,morgan512,boosting,hom::order19,-1.1006515404902455,-0.9704299800235424,-0.9679936423163876,0.13265789817385787,0.13022156046670308,0.00243633770715479,0.1722928957189619,0.014140674210471901,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,37.249088899814524,0.003495966325967009,12.585478773481233,0.9816344315665111,32,45.88698139972985,0.8117572296885457,hom::order19,-0.9679936423163876,0.00243633770715479,0.13265789817385787,0.9816344315665111,1.0,0.018365568433488907,True
equal_budget_from_K16,Homogeneous Morgan,lipo,regression,11,2,16,15,shared_morgan_linear,hom::order14,morgan512,boosting,hom::order14,-1.1074840243976385,-1.003492041383436,-1.003492041383436,0.10399198301420243,0.10399198301420243,0.0,0.10399198301420243,0.0,1,1.0,1,1.0,0.22121526621526622,1.0,12.874630999751385,0.008077278720936588,29.07820339537172,1.0,16,16.326005600451026,0.7885965076108824,hom::order14,-1.003492041383436,0.0,0.10399198301420243,1.0,1.0,0.0,True
