task,task_type,seed,outer_fold,candidate_count,selected_candidate,selected_utility,fixed_reference_utility,observed_audit_best_utility,observed_audit_best_gain,selected_model_gain,incremental_observed_audit_gap,realization_ratio
freesolv,regression,11,2,32,ridge_a10,-3.3027744625345217,-3.882297716175693,-3.0817261504118063,0.8005715657638866,0.5795232536411712,0.22104831212271536,0.7238868808539356
freesolv,regression,11,3,4,ridge_a10,-2.280506640828841,-4.122459917107518,-2.280506640828841,1.841953276278677,1.841953276278677,0.0,1.0
freesolv,regression,11,3,8,ridge_a10,-2.280506640828841,-4.122459917107518,-2.280506640828841,1.841953276278677,1.841953276278677,0.0,1.0
freesolv,regression,11,3,16,et_60_sqrt,-2.2638371811061955,-4.122459917107518,-2.2638371811061955,1.8586227360013226,1.8586227360013226,0.0,1.0
freesolv,regression,11,3,32,et_60_sqrt,-2.2638371811061955,-4.122459917107518,-2.2638371811061955,1.8586227360013226,1.8586227360013226,0.0,1.0
lipo,regression,11,1,4,ridge_a10,-1.068908731190971,-1.1003791646874534,-1.068908731190971,0.031470433496482375,0.031470433496482375,0.0,1.0
lipo,regression,11,1,8,rf_60_sqrt,-1.046645478873077,-1.1003791646874534,-1.0395050582762695,0.06087410641118396,0.05373368581437643,0.0071404205968075285,0.8827018412627463
lipo,regression,11,1,16,histgb_lr0.1,-0.9983857533554968,-1.1003791646874534,-0.9983857533554968,0.10199341133195661,0.10199341133195661,0.0,1.0
lipo,regression,11,1,32,lgbm_80_bag0.8,-0.9704299800235424,-1.1003791646874534,-0.9679936423163876,0.13238552237106582,0.12994918466391103,0.00243633770715479,0.9815966454373618
lipo,regression,11,2,4,ridge_a10,-1.0774679213643443,-1.1072225073928037,-1.0774679213643443,0.029754586028459373,0.029754586028459373,0.0,1.0
lipo,regression,11,2,8,rf_60_sqrt,-1.0376634826754356,-1.1072225073928037,-1.0376634826754356,0.06955902471736808,0.06955902471736808,0.0,1.0
lipo,regression,11,2,16,histgb_lr0.1,-1.003492041383436,-1.1072225073928037,-1.003492041383436,0.10373046600936764,0.10373046600936764,0.0,1.0
lipo,regression,11,2,32,lgbm_80_bag0.8,-0.9946933904056232,-1.1072225073928037,-0.9791289049161996,0.12809360247660406,0.11252911698718049,0.015564485489423574,0.878491312692479
lipo,regression,11,3,4,ridge_a10,-1.0322354026198084,-1.0807139268857116,-1.0322354026198084,0.048478524265903156,0.048478524265903156,0.0,1.0
lipo,regression,11,3,8,ridge_a10,-1.0322354026198084,-1.0807139268857116,-0.9344579327927136,0.14625599409299794,0.048478524265903156,0.09777746982709479,0.3314635038826356
lipo,regression,11,3,16,histgb_lr0.1,-0.9274131312431152,-1.0807139268857116,-0.9140728690804564,0.16664105780525518,0.15330079564259635,0.013340262162658822,0.9199461264927344
lipo,regression,11,3,32,lgbm_80_ff0.7,-0.9113767033790056,-1.0807139268857116,-0.9023890133232136,0.1783249135624979,0.169337223506706,0.00898769005579192,0.9495993584057341
tdc_caco2_wang,regression,11,1,4,ridge_a10,-0.602112079214859,-1.108496554850434,-0.602112079214859,0.506384475635575,0.506384475635575,0.0,1.0
tdc_caco2_wang,regression,11,1,8,ridge_a10,-0.602112079214859,-1.108496554850434,-0.601581926504539,0.506914628345895,0.506384475635575,0.0005301527103199755,0.9989541577996084
tdc_caco2_wang,regression,11,1,16,histgb_lr0.1,-0.5660485753231707,-1.108496554850434,-0.5660485753231707,0.5424479795272633,0.5424479795272633,0.0,1.0
tdc_caco2_wang,regression,11,1,32,histgb_lr0.1,-0.5660485753231707,-1.108496554850434,-0.5660485753231707,0.5424479795272633,0.5424479795272633,0.0,1.0
tdc_caco2_wang,regression,11,2,4,ridge_a10,-0.5854297519055338,-1.0633309592993334,-0.5854297519055338,0.4779012073937996,0.4779012073937996,0.0,1.0
tdc_caco2_wang,regression,11,2,8,rf_60_sqrt,-0.6243547628117556,-1.0633309592993334,-0.5854297519055338,0.4779012073937996,0.4389761964875778,0.0389250109062218,0.9185500887966017
tdc_caco2_wang,regression,11,2,16,histgb_lr0.1,-0.6259262541577059,-1.0633309592993334,-0.5854297519055338,0.4779012073937996,0.43740470514162755,0.04049650225217205,0.9152617703708746
tdc_caco2_wang,regression,11,2,32,lgbm_80_ff0.7,-0.6311244860961642,-1.0633309592993334,-0.5854297519055338,0.4779012073937996,0.4322064732031692,0.045694734190630415,0.9043845600645719
tdc_caco2_wang,regression,11,3,4,ridge_a10,-0.5627165381189151,-1.1882787261203038,-0.5627165381189151,0.6255621880013887,0.6255621880013887,0.0,1.0
tdc_caco2_wang,regression,11,3,8,ridge_a10,-0.5627165381189151,-1.1882787261203038,-0.5267862408769937,0.6614924852433102,0.6255621880013887,0.03593029724192143,0.9456829850021569
tdc_caco2_wang,regression,11,3,16,ridge_a10,-0.5627165381189151,-1.1882787261203038,-0.5210926743871749,0.667186051733129,0.6255621880013887,0.04162386373174021,0.9376128088655103
tdc_caco2_wang,regression,11,3,32,ridge_a10,-0.5627165381189151,-1.1882787261203038,-0.5088588827112238,0.67941984340908,0.6255621880013887,0.053857655407691274,0.920729934619729
tdc_hia_hou,classification,11,1,4,logreg_l2_c0.1,0.9015570065293822,0.9015570065293822,0.910095429432446,0.008538422903063836,0.0,0.008538422903063836,0.0
tdc_hia_hou,classification,11,1,8,rf_120_d20_leaf2,0.9085886489201406,0.9015570065293822,0.9198057927339696,0.018248786204587364,0.007031642390758375,0.01121714381382899,0.38532110091742794
tdc_hia_hou,classification,11,1,16,rf_120_d20_leaf2,0.9085886489201406,0.9015570065293822,0.9198057927339696,0.018248786204587364,0.007031642390758375,0.01121714381382899,0.38532110091742794
tdc_hia_hou,classification,11,1,32,rf_120_d20_leaf2,0.9085886489201406,0.9015570065293822,0.9280093755231876,0.02645236899380543,0.007031642390758375,0.019420726603047056,0.2658227848101254
tdc_hia_hou,classification,11,2,4,logreg_l2_c0.1,0.9180124223602484,0.9180124223602484,0.9180124223602484,0.0,0.0,0.0,
tdc_hia_hou,classification,11,2,8,rf_120_d20_leaf2,0.9080745341614906,0.9180124223602484,0.9180124223602484,0.0,-0.009937888198757738,0.009937888198757738,
tdc_hia_hou,classification,11,2,16,et_120_d20_leaf2,0.938385093167702,0.9180124223602484,0.9590062111801242,0.04099378881987581,0.02037267080745364,0.020621118012422168,0.49696969696970206
tdc_hia_hou,classification,11,2,32,et_120_d20_leaf2,0.938385093167702,0.9180124223602484,0.9590062111801242,0.04099378881987581,0.02037267080745364,0.020621118012422168,0.49696969696970206
tdc_hia_hou,classification,11,3,4,logreg_l2_c0.1,0.9246835443037974,0.9246835443037974,0.925,0.00031645569620264435,0.0,0.00031645569620264435,0.0
tdc_hia_hou,classification,11,3,8,rf_60_sqrt,0.9162974683544304,0.9246835443037974,0.9395569620253164,0.014873417721518956,-0.008386075949367022,0.023259493670885978,-0.5638297872340393
tdc_hia_hou,classification,11,3,16,rf_60_sqrt,0.9162974683544304,0.9246835443037974,0.9411392405063292,0.016455696202531844,-0.008386075949367022,0.024841772151898867,-0.5096153846153745
tdc_hia_hou,classification,11,3,32,rf_60_sqrt,0.9162974683544304,0.9246835443037974,0.945253164556962,0.020569620253164556,-0.008386075949367022,0.028955696202531578,-0.4076923076923045
tdc_pgp_broccatelli,classification,11,1,4,logreg_l2_c0.1,0.8477576091664369,0.8477576091664369,0.8551797456392488,0.007422136472811869,0.0,0.007422136472811869,0.0
tdc_pgp_broccatelli,classification,11,1,8,rf_60_sqrt,0.9137496554711186,0.8477576091664369,0.9137496554711186,0.0659920463046817,0.0659920463046817,0.0,1.0
tdc_pgp_broccatelli,classification,11,1,16,et_90_leaf2,0.908040319722802,0.8477576091664369,0.9137496554711186,0.0659920463046817,0.06028271055636503,0.0057093357483166685,0.9134844868735094
tdc_pgp_broccatelli,classification,11,1,32,et_90_leaf2,0.908040319722802,0.8477576091664369,0.9137496554711186,0.0659920463046817,0.06028271055636503,0.0057093357483166685,0.9134844868735094
tdc_pgp_broccatelli,classification,11,2,4,logreg_l2_c1,0.8621909073860745,0.8863557210598226,0.8863557210598226,0.0,-0.02416481367374812,0.02416481367374812,
