task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
clintox,37,3,0.9166865790521704,maccs,lightgbm,0.8220430107526883,morgan512,lightgbm,0.9166865790521704,0.7428514536041418,0.1738351254480286,0.09464356829948217,0.5444444444444441,attainable multiview gain vs Morgan-only oracle
clintox,53,1,0.921254247760272,multiview,lightgbm,0.8746370095767687,morgan512,lightgbm,0.921254247760272,0.7511275872721657,0.17012666048810632,0.04661723818350327,0.27401489013982216,attainable multiview gain vs Morgan-only oracle
clintox,53,2,0.9452088152928284,multiview,lightgbm,0.8352814643451438,morgan512,random_forest,0.9452088152928284,0.7175615893502171,0.22764722594261133,0.10992735094768458,0.4828846496701729,attainable multiview gain vs Morgan-only oracle
clintox,53,3,0.8999999999999999,multiview,lightgbm,0.7910964912280701,morgan512,random_forest,0.8999999999999999,0.6575438596491228,0.24245614035087715,0.10890350877192978,0.44916787264833563,attainable multiview gain vs Morgan-only oracle
clintox,71,1,0.8984932593180016,multiview,random_forest,0.8322759714512292,morgan512,random_forest,0.8984932593180016,0.7467287866772404,0.1517644726407612,0.06621728786677239,0.43631613324624446,attainable multiview gain vs Morgan-only oracle
clintox,71,2,0.9111460348162476,multiview,lightgbm,0.8208816892327531,morgan512,random_forest,0.9111460348162476,0.7267085751128304,0.18443745970341718,0.0902643455834945,0.4894035394363118,attainable multiview gain vs Morgan-only oracle
clintox,71,3,0.9330894032221466,multiview,lightgbm,0.8342409802586793,morgan512,lightgbm,0.9330894032221466,0.7510494667574313,0.18203993646471528,0.0988484229634673,0.5430040511062639,attainable multiview gain vs Morgan-only oracle
esol,11,1,-0.6715642518967673,rdkit2d,linear,-1.6827512989611448,morgan512,random_forest,-0.6715642518967673,-2.565254914196176,1.8936906622994087,1.0111870470643776,0.5339768881980684,attainable multiview gain vs Morgan-only oracle
esol,11,2,-0.8583628907748124,rdkit2d,linear,-1.8274438151930967,morgan512,lightgbm,-0.8583628907748124,-2.7056892486308697,1.8473263578560573,0.9690809244182843,0.5245856641936111,attainable multiview gain vs Morgan-only oracle
esol,11,3,-0.7763587123477073,multiview,lightgbm,-1.426047573648128,morgan512,random_forest,-0.7763587123477073,-3.6631839360178273,2.88682522367012,0.6496888613004207,0.225053063820209,attainable multiview gain vs Morgan-only oracle
esol,23,1,-0.6715642518967673,rdkit2d,linear,-1.7448497626620785,morgan512,random_forest,-0.6715642518967673,-2.565254914196176,1.8936906622994087,1.0732855107653112,0.5667691836543552,attainable multiview gain vs Morgan-only oracle
