task,variant,policy,mean_normalized_regret,median_normalized_regret,mean_outer_utility,selected_representations
lipo,fingerprints_only,risk_adjusted,0.0,0.0,-0.9138007241025753,1
lipo,fingerprints_only,validation_best,0.0,0.0,-0.9138007241025753,1
lipo,full_multiview,one_se_stable,0.02408054737629323,0.0,-0.738446151442995,2
lipo,full_multiview,risk_adjusted,0.0,0.0,-0.7300783425196019,1
lipo,full_multiview,validation_best,0.0,0.0,-0.7300783425196019,1
lipo,morgan_only,one_se_stable,0.0,0.0,-0.9702154785142485,1
lipo,morgan_only,risk_adjusted,0.0,0.0,-0.9702154785142485,1
lipo,morgan_only,validation_best,0.0,0.0,-0.9702154785142485,1
lipo,no_multiview_concat,one_se_stable,0.0,0.0,-0.7428048170354397,1
lipo,no_multiview_concat,risk_adjusted,0.0,0.0,-0.7428048170354397,1
lipo,no_multiview_concat,validation_best,0.0,0.0,-0.7428048170354397,1
tdc_caco2_wang,fingerprints_only,one_se_stable,0.023840697710719953,0.0220069164554625,-0.5250770578410375,2
tdc_caco2_wang,fingerprints_only,risk_adjusted,0.0209451752803143,0.0172315333337957,-0.52331640595393,1
tdc_caco2_wang,fingerprints_only,validation_best,0.038586769468641584,0.0202521312426632,-0.5368631803583351,1
tdc_caco2_wang,full_multiview,one_se_stable,0.04711760088320452,0.0459292856427884,-0.4943402247470263,2
tdc_caco2_wang,full_multiview,risk_adjusted,0.038337248940373915,0.0557056481872751,-0.48763382165897534,2
tdc_caco2_wang,full_multiview,validation_best,0.019943991690889108,0.0,-0.4727589889185634,2
tdc_caco2_wang,morgan_only,one_se_stable,0.0017078801168177666,0.0,-0.5785315781495601,1
tdc_caco2_wang,morgan_only,risk_adjusted,0.0017078801168177666,0.0,-0.5785315781495601,1
tdc_caco2_wang,morgan_only,validation_best,0.0017078801168177666,0.0,-0.5785315781495601,1
tdc_caco2_wang,no_multiview_concat,one_se_stable,0.046364840318548775,0.0492609372040602,-0.4970134682804167,1
tdc_caco2_wang,no_multiview_concat,risk_adjusted,0.046364840318548775,0.0492609372040602,-0.4970134682804167,1
tdc_caco2_wang,no_multiview_concat,validation_best,0.033401965219542175,0.044628729785908,-0.48650674725481746,1
tdc_hia_hou,fingerprints_only,one_se_stable,0.12142044093066111,0.0537500000000003,0.9577980647417099,1
tdc_hia_hou,fingerprints_only,risk_adjusted,0.097004070271026,0.0459518599562374,0.9603753547972004,1
tdc_hia_hou,fingerprints_only,validation_best,0.10760065607515897,0.0474820143884898,0.9594391247199787,1
tdc_hia_hou,full_multiview,one_se_stable,0.11100556087948976,0.0949152542372886,0.9650400006494004,3
tdc_hia_hou,full_multiview,risk_adjusted,0.11450511393265678,0.1057884231536911,0.9649436500753193,2
tdc_hia_hou,full_multiview,validation_best,0.11464711386533286,0.1144366197183096,0.9641310461672278,3
tdc_hia_hou,morgan_only,one_se_stable,0.3607508417385329,0.1111111111111165,0.8850614342106576,1
tdc_hia_hou,morgan_only,risk_adjusted,0.37486927626093625,0.249999999999998,0.886365055849805,1
tdc_hia_hou,morgan_only,validation_best,0.41728210511444247,0.4196078431372566,0.8832275402835605,1
tdc_hia_hou,no_multiview_concat,one_se_stable,0.08934110732761509,0.0836909871244632,0.9688718525354024,2
tdc_hia_hou,no_multiview_concat,risk_adjusted,0.08447358773202426,0.0856353591160215,0.9656542407096916,2
tdc_hia_hou,no_multiview_concat,validation_best,0.13509139775667614,0.112244897959184,0.961101517547493,2
tdc_pgp_broccatelli,fingerprints_only,one_se_stable,0.1988960855187016,0.1308880308880316,0.8956707995601056,2
tdc_pgp_broccatelli,fingerprints_only,risk_adjusted,0.1577731616681596,0.1308880308880316,0.8960576390564746,2
tdc_pgp_broccatelli,fingerprints_only,validation_best,0.09894667030788594,0.0251410979989721,0.9033631186059766,2
tdc_pgp_broccatelli,full_multiview,one_se_stable,0.13965051772792572,0.0955458112162469,0.9243695419506728,3
tdc_pgp_broccatelli,full_multiview,risk_adjusted,0.08858132608197633,0.0955458112162469,0.9291412376768942,3
tdc_pgp_broccatelli,full_multiview,validation_best,0.07056282995730644,0.0733969986357438,0.9309766226344843,2
tdc_pgp_broccatelli,morgan_only,one_se_stable,0.17305127739769913,0.0,0.901674282860243,1
tdc_pgp_broccatelli,morgan_only,risk_adjusted,0.08250811388078594,0.0,0.907867932830089,1
tdc_pgp_broccatelli,morgan_only,validation_best,0.0743677630035931,0.0,0.9082908082003328,1
tdc_pgp_broccatelli,no_multiview_concat,one_se_stable,0.11075329797351803,0.0692116182572603,0.9250019654825612,2
tdc_pgp_broccatelli,no_multiview_concat,risk_adjusted,0.07927105397007413,0.0692116182572603,0.9276013784576239,2
tdc_pgp_broccatelli,no_multiview_concat,validation_best,0.06164387602124754,0.0391117840020185,0.9303472956648952,1
