endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,2,23,3,16,0.25,500,0.22,0.039999999999999966,0.24808114385614385,0.153937784090908
bace,2,23,3,16,0.5,500,0.294,0.13107692307692304,0.2815814546564546,0.09859659090908975
bace,2,23,3,16,0.75,500,0.354,0.20492307692307687,0.3231281218781219,0.06325482954545339
bace,2,23,3,16,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,3,32,0.0,500,0.082,-0.012965517241379303,0.11771445507832433,0.2427284090909122
bace,2,23,3,32,0.1,500,0.08,-0.015172413793103443,0.11614064533721401,0.22157102272727563
bace,2,23,3,32,0.25,500,0.178,0.0929655172413793,0.18879980600722376,0.1801840909090936
bace,2,23,3,32,0.5,500,0.222,0.14151724137931035,0.2164473352380249,0.14256193181818447
bace,2,23,3,32,0.75,500,0.342,0.27393103448275863,0.3021253761016665,0.10209261363636601
bace,2,23,3,32,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,1,4,0.0,500,0.744,-0.024,0.5076666666666666,0.2572333931777375
bace,3,37,1,4,0.1,500,0.792,0.168,0.5616666666666666,0.213464991023339
bace,3,37,1,4,0.25,500,0.824,0.296,0.589,0.1855206463195688
bace,3,37,1,4,0.5,500,0.936,0.744,0.7006666666666667,0.11697307001795311
bace,3,37,1,4,0.75,500,0.994,0.976,0.7885,0.07029622980251338
bace,3,37,1,4,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,1,8,0.0,500,0.354,-0.033600000000000005,0.3261380952380952,0.2350885697187311
bace,3,37,1,8,0.1,500,0.39,0.023999999999999997,0.35806190476190475,0.19851226810293215
bace,3,37,1,8,0.25,500,0.448,0.11680000000000001,0.3820357142857142,0.15431119090365017
bace,3,37,1,8,0.5,500,0.566,0.30560000000000004,0.47487380952380953,0.09665589467384765
bace,3,37,1,8,0.75,500,0.69,0.504,0.5280214285714286,0.056669060442848265
bace,3,37,1,8,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,1,16,0.0,500,0.168,-0.024000000000000035,0.20010353812853812,0.39239736684619814
bace,3,37,1,16,0.1,500,0.26,0.0892307692307692,0.24694098124098127,0.34912746858168575
bace,3,37,1,16,0.25,500,0.25,0.07692307692307687,0.2611341408591409,0.2843740275284244
bace,3,37,1,16,0.5,500,0.392,0.25169230769230766,0.3427732517482517,0.19906044284859195
bace,3,37,1,16,0.75,500,0.58,0.48307692307692307,0.4888288544788545,0.10823638539796385
bace,3,37,1,16,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,1,32,0.0,500,0.094,0.00027586206896552403,0.134603664189757,0.35027707959305554
bace,3,37,1,32,0.1,500,0.108,0.015724137931034488,0.13606613108373794,0.30707360861759175
bace,3,37,1,32,0.25,500,0.136,0.046620689655172416,0.1564924713222227,0.23507899461400109
bace,3,37,1,32,0.5,500,0.198,0.1150344827586207,0.21547320764407293,0.16828426092160145
bace,3,37,1,32,0.75,500,0.378,0.3136551724137931,0.33170455524568454,0.09954937163375027
bace,3,37,1,32,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,2,4,0.0,500,0.766,0.064,0.5221666666666667,0.2561099851371423
bace,3,37,2,4,0.1,500,0.798,0.192,0.5428333333333333,0.22841818673152148
bace,3,37,2,4,0.25,500,0.846,0.384,0.6171666666666668,0.17950709363599401
bace,3,37,2,4,0.5,500,0.928,0.712,0.6923333333333334,0.13613011755168122
bace,3,37,2,4,0.75,500,0.992,0.968,0.8443333333333334,0.06117957032833346
bace,3,37,2,4,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,2,8,0.0,500,0.384,0.014399999999999996,0.3415142857142857,0.37707823267126045
bace,3,37,2,8,0.1,500,0.406,0.049600000000000005,0.35053571428571434,0.3325719497365219
bace,3,37,2,8,0.25,500,0.508,0.21280000000000004,0.4199666666666667,0.22554992568571783
bace,3,37,2,8,0.5,500,0.626,0.4016,0.4877261904761905,0.15253371166058605
bace,3,37,2,8,0.75,500,0.746,0.5936,0.5485190476190476,0.07322929333873751
bace,3,37,2,8,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,2,16,0.0,500,0.19,0.003076923076923045,0.2168773199023199,0.2674756114038629
bace,3,37,2,16,0.1,500,0.224,0.04492307692307689,0.2228931734931735,0.20817294960140356
bace,3,37,2,16,0.25,500,0.232,0.054769230769230744,0.23829645632145632,0.14096189704093864
bace,3,37,2,16,0.5,500,0.318,0.16061538461538458,0.2955814574314574,0.10006728820429475
bace,3,37,2,16,0.75,500,0.426,0.2935384615384615,0.3735681485181485,0.0536005945142527
bace,3,37,2,16,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,2,32,0.0,500,0.112,0.020137931034482765,0.13802935554529933,0.23234481826780012
bace,3,37,2,32,0.1,500,0.12,0.028965517241379305,0.14248964781260465,0.21373746790974033
bace,3,37,2,32,0.25,500,0.124,0.0333793103448276,0.15048802548524473,0.1625664099446003
