dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
tdc_hia_hou,classification,37,2,32,logreg_l2_c1,et_90_d12,et_90_d12,rf_120_d20_leaf2,0.9428415895481764,0.9508256214843042,0.9508256214843042,0.9633460352023226,0.007984031936127733,0.007984031936127733,0.02050444565414622,-0.04105571847507331
tdc_hia_hou,classification,37,3,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9217105263157894,0.9296052631578948,0.9217105263157894,0.9217105263157894,0.007894736842105399,0.0,0.0,0.7999999999999999
tdc_hia_hou,classification,37,3,8,logreg_l2_c0.1,et_90_d12,rf_90_d12,logreg_l2_c0.1,0.9217105263157894,0.9296052631578948,0.9164473684210528,0.9217105263157894,0.007894736842105399,-0.005263157894736636,0.0,0.38095238095238104
tdc_hia_hou,classification,37,3,16,et_120_d20_leaf2,et_90_d12,et_90_d12,et_120_d20_leaf2,0.932565789473684,0.9296052631578948,0.9296052631578948,0.932565789473684,-0.002960526315789136,-0.002960526315789136,0.0,0.7349050679933742
tdc_hia_hou,classification,37,3,32,et_120_d20_leaf2,et_90_d12,et_90_d12,et_120_d20_leaf2,0.932565789473684,0.9296052631578948,0.9296052631578948,0.932565789473684,-0.002960526315789136,-0.002960526315789136,0.0,0.34155285918890194
tdc_hia_hou,classification,53,1,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c1,logreg_l2_c0.1,0.8951406649616368,0.876141761052247,0.8743149433686519,0.8951406649616368,-0.018998903909389853,-0.020825721592984903,0.0,0.39999999999999997
tdc_hia_hou,classification,53,1,8,rf_90_d12,et_120_d20_leaf2,rf_90_d12,logreg_l2_c0.1,0.8863719400803799,0.876141761052247,0.8863719400803799,0.8951406649616368,-0.010230179028132946,0.0,0.008768724881256906,-0.05988131309566295
tdc_hia_hou,classification,53,1,16,rf_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,histgb_lr0.1,0.8863719400803799,0.876141761052247,0.876141761052247,0.907563025210084,-0.010230179028132946,-0.010230179028132946,0.021191085129704135,0.11184697656399943
tdc_hia_hou,classification,53,1,32,rf_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,histgb_lr0.1,0.8863719400803799,0.876141761052247,0.876141761052247,0.907563025210084,-0.010230179028132946,-0.010230179028132946,0.021191085129704135,-0.19429933176645844
tdc_hia_hou,classification,53,2,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c1,logreg_l2_c0.1,0.8438282647584974,0.8161001788908765,0.8395348837209302,0.8438282647584974,-0.027728085867620877,-0.004293381037567157,0.0,0.7999999999999999
tdc_hia_hou,classification,53,2,8,rf_90_d12,et_120_d20_leaf2,rf_90_d12,logreg_l2_c0.1,0.8130590339892665,0.8161001788908765,0.8130590339892665,0.8438282647584974,0.0030411449016100045,0.0,0.030769230769230882,0.5952380952380953
