dataset,pool_size,scenario,noise_scale,simulation_replicates,n_audit_units,observed_mean_same_fold_gap,simulated_mean_gap,simulated_gap_interval_low,simulated_gap_interval_high,top1_recovery_mean,top1_recovery_interval_low,top1_recovery_interval_high,observed_within_simulated_95pct_envelope,candidate_variance_cv
bace,32,independent_homoskedastic,1.0,2000,30,0.006662717641717068,0.010745707704354913,0.007796094867836125,0.013978004850565854,0.06955,0.0,0.16666666666666666,0,0.12017341201694207
bace,32,independent_homoskedastic,2.0,2000,30,0.006662717641717068,0.013735835620561564,0.009836166663005427,0.01801441859995464,0.048083333333333325,0.0,0.13333333333333333,0,0.12017341201694207
bbbp,4,empirical_correlation_heteroskedastic,0.5,2000,30,0.0,0.00021402651869530969,0.0,0.0009644352053764645,0.9824,0.9333333333333333,1.0,1,0.0653700749950576
bbbp,4,empirical_correlation_heteroskedastic,1.0,2000,30,0.0,0.001981087078054025,0.00029400283023471493,0.0041713950154059504,0.8759166666666668,0.7333333333333333,0.9666666666666667,0,0.0653700749950576
bbbp,4,empirical_correlation_heteroskedastic,2.0,2000,30,0.0,0.006933664126315821,0.0031072276896588736,0.011673911255698477,0.6815666666666667,0.5,0.8333333333333334,0,0.0653700749950576
bbbp,4,independent_homoskedastic,0.5,2000,30,0.0,0.007627813414713228,0.0037167809976776547,0.011807266036238214,0.6303666666666665,0.4666666666666667,0.8,0,0.0653700749950576
bbbp,4,independent_homoskedastic,1.0,2000,30,0.0,0.013539240213718244,0.008381766480051808,0.01927063216422479,0.4556,0.26666666666666666,0.6333333333333333,0,0.0653700749950576
bbbp,4,independent_homoskedastic,2.0,2000,30,0.0,0.018263281145817403,0.012190910561134211,0.024774746057486006,0.35063333333333335,0.2,0.5333333333333333,0,0.0653700749950576
bbbp,8,empirical_correlation_heteroskedastic,0.5,2000,30,0.006992487201635563,0.0013470853569725898,0.000450072250353028,0.002539735832904358,0.6508999999999998,0.4666666666666667,0.8,0,0.0653700749950576
bbbp,8,empirical_correlation_heteroskedastic,1.0,2000,30,0.006992487201635563,0.004127467653327706,0.0020060860305333252,0.006838362582441519,0.46265000000000006,0.3,0.6333333333333333,0,0.0653700749950576
