task,task_type,matrix_level,candidate_count,transformation,reference_label,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
esol,regression,outer,16,within_unit_rank,candidate_1,10,30,16,5.550576102982255,3.7698609390511213,-0.09932021939619612,7.9489025114368665,5.131709726406835,-0.07979904334244764,0.19654785473113973
esol,regression,outer,32,raw,candidate_1,10,30,32,1.900133503776175,1.4173474951196998,0.9120918219277017,2.359882035718542,1.520635599940678,0.8790822948694975,0.03619101308072107
esol,regression,outer,32,row_centred,candidate_1,10,30,32,3.9853307902567447,2.5898687609985727,-0.08750143261757806,5.3428923946664275,2.9663133439591047,-0.08123592704788068,0.07160460557349461
esol,regression,outer,32,fixed_reference_relative,candidate_1,10,30,31,1.2424281698187656,1.0846427685966984,0.973340300887429,1.6380412444097503,1.177131100825213,0.9328745906197314,0.041574062258394134
esol,regression,outer,32,within_unit_rank,candidate_1,10,30,32,6.3022074684620435,3.3781346272899975,-0.0279216945444923,9.37221417000293,4.36469164526357,-0.024121584207883618,0.1360988435194476
esol,regression,inner,4,raw,candidate_1,10,90,4,2.029296479861654,1.700386818941043,0.6610793339236618,2.211211721444627,1.799984892659358,0.6284611743143883,0.049340764315952246
esol,regression,inner,4,row_centred,candidate_1,10,90,4,2.1150839638704784,1.9558319661738697,-0.23640859460325878,2.363401737891202,2.0824157116988244,-0.22190355009903645,0.061355825614397216
esol,regression,inner,4,fixed_reference_relative,candidate_1,10,90,3,1.2094491287564852,1.0927425711807595,0.9335231829299965,1.3174744653853123,1.1416967953864843,0.9014928327877224,0.03431125303363321
esol,regression,inner,4,within_unit_rank,candidate_1,10,90,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
esol,regression,inner,8,raw,candidate_1,10,90,8,2.40469047386566,1.9410964880601427,0.5984961198943132,2.6633273578167946,2.042775163208041,0.5784949794111514,0.03341899774837968
esol,regression,inner,8,row_centred,candidate_1,10,90,8,2.2133293266723166,1.6452398922961944,-0.36408056345395556,2.4337501325936985,1.7265398249969985,-0.3531244611761946,0.030092521758982284
esol,regression,inner,8,fixed_reference_relative,candidate_1,10,90,7,1.349987821547697,1.1491477211031182,0.9335231829299965,1.5029334082452703,1.199846808085567,0.9096206328715976,0.02560466681007009
esol,regression,inner,8,within_unit_rank,candidate_1,10,90,8,4.783753634963536,4.0394750248331075,-0.2185071665999547,5.895866539108162,5.133955482977989,-0.15387878036482983,0.2957723869691065
esol,regression,inner,16,raw,candidate_1,10,90,16,2.342985166498593,1.6849916494647503,0.8172571261645983,2.603525021139767,1.757633504056671,0.798157698821437,0.023370156994280692
esol,regression,inner,16,row_centred,candidate_1,10,90,16,3.6958080893362544,2.673705530211281,-0.040421153937918994,4.294688938992752,2.896174858284519,-0.03851212184486524,0.047228540184323445
esol,regression,inner,16,fixed_reference_relative,candidate_1,10,90,15,1.3941323272556196,1.1497057796859926,0.9468356182477488,1.5862505530812852,1.2008100822016616,0.9247579589377825,0.023317309662288066
esol,regression,inner,16,within_unit_rank,candidate_1,10,90,16,6.103549743604543,3.8757573063562267,-0.09964731144278917,7.133848357802719,4.424751798634339,-0.09093047768007483,0.08747685849727094
esol,regression,inner,32,raw,candidate_1,10,90,32,2.1788744956204087,1.5321328259457718,0.8590021240982717,2.451508601874982,1.592254546409841,0.8417968211209457,0.020029406790334978
esol,regression,inner,32,row_centred,candidate_1,10,90,32,4.311690586300764,2.548112178514073,-0.15568993868197725,5.256677069664742,2.799917834956907,-0.1478879006132794,0.050112667104551235
esol,regression,inner,32,fixed_reference_relative,candidate_1,10,90,31,1.4027832921710857,1.1512402669036106,0.9483038333992326,1.6306255523268114,1.2025282385626996,0.9270633525819925,0.0223983918119397
esol,regression,inner,32,within_unit_rank,candidate_1,10,90,32,6.880647344367735,3.436528557802826,-0.06878029380750578,7.835149656922271,3.7309418232751126,-0.06565727881845625,0.045405665142836366
freesolv,regression,outer,4,raw,candidate_1,10,30,4,2.247674289987485,2.0945070546536577,0.412721276000672,2.730130963185996,2.394883466921139,0.35424619147371395,0.14168177878686056
freesolv,regression,outer,4,row_centred,candidate_1,10,30,4,1.635229749274215,1.4145657020572482,-0.627534877078736,1.9273810107542273,1.551382361976629,-0.5831546446735225,0.07072153919445873
freesolv,regression,outer,4,fixed_reference_relative,candidate_1,10,30,3,1.1386207206686436,1.0565720205299356,0.964953719411408,1.3316186893963902,1.1444786703818948,0.9059431296286931,0.0611538031261327
freesolv,regression,outer,4,within_unit_rank,candidate_1,10,30,4,1.3844813209313727,1.2197750166705463,-0.9148593319794938,1.489996692699864,1.2667738220036944,-0.8857982613524354,0.031765616429990644
freesolv,regression,outer,8,raw,candidate_1,10,30,8,2.0555036273241774,1.699543267118259,0.7424332624571255,2.4745276954122057,1.8574690149117008,0.7012137214416487,0.055519523571800115
freesolv,regression,outer,8,row_centred,candidate_1,10,30,8,1.6111605178372888,1.2716544397086742,-0.5892739455686606,1.9242584856923401,1.3814922173542175,-0.5607295863611863,0.04843987999491214
freesolv,regression,outer,8,fixed_reference_relative,candidate_1,10,30,7,1.158304980647858,1.059778840549909,0.9868115636087853,1.4200090450064493,1.1471535697506117,0.9414848348263236,0.04593250672570262
freesolv,regression,outer,8,within_unit_rank,candidate_1,10,30,8,2.7412753094034854,1.8867539761205598,-0.36875097507430965,3.231281452524901,2.108802003306327,-0.34240396421581565,0.07144933204091143
freesolv,regression,outer,16,raw,candidate_1,10,30,16,1.8652398574632667,1.405673263167492,0.9210998470777578,2.258463248163736,1.51485649479827,0.8839598190383404,0.0403213920371895
freesolv,regression,outer,16,row_centred,candidate_1,10,30,16,3.6820747537231657,2.357770958933363,0.21524789395649563,4.774506375020701,2.749753274793079,0.19643196819881276,0.0874151445193042
freesolv,regression,outer,16,fixed_reference_relative,candidate_1,10,30,15,1.16821911233341,1.0531689264215023,0.9820970221405697,1.4750696344207002,1.13876288756934,0.9415643054791147,0.041271601224398415
freesolv,regression,outer,16,within_unit_rank,candidate_1,10,30,16,6.018392509351541,3.8784453880725125,-0.04638925964259783,8.133883762021178,5.032846057313995,-0.03873533059743474,0.16499355894299977
freesolv,regression,outer,32,raw,candidate_1,10,30,32,1.6834419324389456,1.2612759500697548,0.9422822315189876,2.0950569075699095,1.3533464122630419,0.9083018165018879,0.03606182296605771
freesolv,regression,outer,32,row_centred,candidate_1,10,30,32,6.382582006212682,4.134749000641803,0.001535410824677752,10.565453835563913,5.677358787290913,0.0012735302217392048,0.17056060744753415
freesolv,regression,outer,32,fixed_reference_relative,candidate_1,10,30,31,1.1629998900240455,1.0481244965712992,0.9809179434675497,1.518117816933187,1.1329560725184047,0.9421427018081923,0.03952954670427021
freesolv,regression,outer,32,within_unit_rank,candidate_1,10,30,32,9.936507542726952,6.162695151972469,-0.052040871221295075,16.433114950987783,9.46165087943928,-0.039226890914927384,0.24622916576239398
