task,task_type,matrix_level,candidate_count,transformation,reference_label,reference_candidate_order,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bbbp,classification,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,5.567605681235201,2.798840370018008,0.5712482011982494,8.596130808515616,3.68977518455314,0.4896019192777664,0.14292610768702965
bbbp,classification,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,5.810168641832368,2.8850403017638917,0.5354812879236002,6.909929183380467,3.2078238351192665,0.5049025112172922,0.057105219913251265
bbbp,classification,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,3.5193024103039297,1.8171773859558333,0.7394166797816963,4.154000161388505,1.9706096027916151,0.7081787939373385,0.0422466610485176
bbbp,classification,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,6.45674957362361,3.1513756418807595,0.47865806705968345,7.629410685494057,3.508831619953675,0.4507014247601744,0.0584062908857721
bbbp,classification,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,6.231159125903319,3.084342864527728,0.5229959729343342,7.052494652760421,3.3298627853357665,0.5011274924043729,0.04181386026218541
clintox,classification,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,7.400543645895671,3.72155346890327,0.46945247039603716,11.071847833004432,4.998978412264118,0.395456318043223,0.15762224510266232
clintox,classification,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,5.40321093024205,2.598951765080477,0.5994070255556643,8.096858023872672,3.356414598496037,0.5203710635693958,0.13185691627988566
clintox,classification,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,4.326343293194658,2.150634780439511,0.6553884249456122,5.696794906289746,2.48856373854088,0.605688226634293,0.07583319512462196
clintox,classification,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,6.989280963962334,3.4245347208537398,0.48992449349406636,10.975844089052398,4.767316569417263,0.40499799945644355,0.1733460873367246
clintox,classification,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,6.465727402337859,3.009960998655621,0.5342949913887705,7.403696274290924,3.2831627916189663,0.5090792695302311,0.04719438187694233
clintox,classification,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,5.277309634099521,2.4262322102854137,0.6158786075515799,6.032952249416928,2.6250262432193976,0.5900359253466135,0.04196067518516911
clintox,classification,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,5.330543221686802,2.497830612428448,0.5671378578752768,6.052759737408656,2.688074802522421,0.544872887429631,0.03925848034384312
clintox,classification,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,5.15995640052614,2.381618673351455,0.6194909246590292,5.925732883337276,2.579227774685095,0.5932279673499308,0.04239441816448527
esol,regression,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,1.2424281698187656,1.0846427685966984,0.973340300887429,1.6380412444097503,1.177131100825213,0.9328745906197314,0.041574062258394134
esol,regression,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,1.6341048347705749,1.2532518854391201,0.9235075413791041,2.1498691438490884,1.3715365144975145,0.8810301266982088,0.04599574207857789
esol,regression,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,3.3209255201456656,2.204316420189984,0.604707290361762,4.778788126150491,2.5927951254118113,0.5537944856571372,0.08419413080693446
esol,regression,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,4.315755905079444,2.929697133024547,0.031152259498289158,6.041838516020748,3.4467960578623926,0.028454805752885327,0.08658934500568083
