task,task_type,matrix_level,transformation,omission_type,omitted,n_matrix_rows,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,outer,within_unit_rank,seed,11,27,13.16001511995152,9.27386590485898,-0.05204407202428432,26.247366404541594,20.75636774644461,-0.024469017455696455,0.5298404505266433
bace,classification,outer,within_unit_rank,seed,23,27,12.858049712138266,8.891295542915689,-0.05966867451659165,25.263533360007656,19.181156170059936,-0.030257159325344774,0.4929138350989952
bace,classification,outer,within_unit_rank,seed,37,27,12.698373932368586,8.913145766596452,-0.04295116655722034,25.129172428971707,19.10507036659003,-0.021925184437095298,0.48953227130894944
bace,classification,outer,within_unit_rank,seed,53,27,13.004379954057022,8.980700773232668,-0.041645638490597894,25.361223783650296,19.34514040859345,-0.021038816768283154,0.4948134419158208
bace,classification,outer,within_unit_rank,seed,71,27,12.957238079309098,9.044091224460404,-0.0376804520339252,25.282137323628007,19.294933786939655,-0.01919190769841945,0.4906667340099791
bace,classification,outer,within_unit_rank,seed,83,27,12.939000179668906,9.1095131887952,-0.04412780149683044,25.31467034710581,19.425465168620693,-0.022397142405327426,0.49244826060649916
bace,classification,outer,within_unit_rank,seed,97,27,13.72648555775833,9.883222149323663,-0.03908371825377383,27.437796916162824,22.825408740277535,-0.016564117611373975,0.5761887980099087
bace,classification,outer,within_unit_rank,seed,113,27,13.523225128274563,9.830019375948815,-0.04958946884578182,27.1060678051564,22.3242207351439,-0.021738962270746773,0.5616213930753579
bace,classification,outer,within_unit_rank,seed,127,27,12.539903477571261,8.61702961398195,-0.048213507994774474,24.3288201174528,17.886194469138154,-0.025999247304700827,0.4607476538002854
bace,classification,outer,within_unit_rank,seed,149,27,13.085162254977998,9.139646864055198,-0.05762611072445043,25.483317920285312,19.598902605799488,-0.028983893927627305,0.49703539657189477
bace,classification,outer,within_unit_rank,outer_fold,1,20,11.04827070350891,8.053262222588572,-0.043459389898669876,25.756930791859872,19.967230385583235,-0.01956456753284643,0.5498195538763142
bace,classification,outer,within_unit_rank,outer_fold,2,20,11.580793933439422,8.889218086459838,-0.046371118834802105,28.095476312083267,24.05625800469474,-0.01652610714856836,0.6436120679459366
bace,classification,outer,within_unit_rank,outer_fold,3,20,11.260624448858115,8.153064891581046,-0.06277978655510286,26.49753338439483,21.057759277696963,-0.026461292493059455,0.5785061730046833
bace,classification,inner,raw,seed,11,81,1.884261512952307,1.2749755607837225,0.9029433127613979,2.2645348786910997,1.3629307429664357,0.8720713376129358,0.034190380184608134
bace,classification,inner,raw,seed,23,81,1.8378149631206844,1.2591758206061836,0.9041183501287833,2.191577343541039,1.3410357114346407,0.8749218977883988,0.03229273284435102
bace,classification,inner,raw,seed,37,81,1.9161833062788052,1.2876288349089764,0.8953190330567707,2.306418111647362,1.377744585408004,0.864272552231264,0.034676444573626806
bace,classification,inner,raw,seed,53,81,1.9859267287850157,1.3101669833384924,0.8870622132721635,2.3939608136982717,1.4043349794783357,0.8554896001931143,0.035592332315210806
bace,classification,inner,raw,seed,71,81,1.9314544221097445,1.288491678307456,0.8879760332205107,2.3441575324113617,1.3840376177848805,0.8554438151222236,0.03663636954287958
bace,classification,inner,raw,seed,83,81,1.9024015037235644,1.2814130280880842,0.8960965802734058,2.259591757850081,1.3638283911806657,0.8674334261251693,0.03198667953792582
bace,classification,inner,raw,seed,97,81,1.9632939101277325,1.3021674942894474,0.8935747605835498,2.2845086189940167,1.375969811683919,0.8682347852698287,0.02835798013942543
bace,classification,inner,raw,seed,113,81,1.8488779684270655,1.262529658194718,0.9056410473320959,2.1860955945858165,1.3405504144244431,0.87777545524283,0.03076891465040626
bace,classification,inner,raw,seed,127,81,1.8753794029589954,1.2719094940174598,0.8998154940840253,2.2460675079519574,1.3577192187804485,0.8696997516759268,0.03346879733245214
bace,classification,inner,raw,seed,149,81,1.909036229560589,1.284962242331978,0.8953444383784197,2.2958502485778536,1.374295468063859,0.8644955929320199,0.034454723929788246
bace,classification,inner,raw,outer_fold,1,60,1.8583072458401224,1.2689005323450018,0.8993297099556465,2.4033442916702463,1.3953055501740037,0.8558606211763174,0.04833498582124334
bace,classification,inner,raw,outer_fold,2,60,2.0826939392212855,1.348002328517447,0.8749632240623754,2.5725312450023488,1.4605360701999275,0.8390354100489436,0.041062084697253864
bace,classification,inner,raw,outer_fold,3,60,1.7823772325267977,1.2442911993244765,0.9147189617741289,2.2149085957166053,1.344773047780097,0.8784430197704652,0.0396580190415048
bace,classification,inner,raw,inner_fold,1,60,2.02112274011033,1.3324769850269247,0.8884366440847777,2.563209767296357,1.4575308993422862,0.8477350851320129,0.045812562126693886
bace,classification,inner,raw,inner_fold,2,60,1.771008165004555,1.2396233475172487,0.9123184912179698,2.1837393273956343,1.3351436764910052,0.8777119111356659,0.037932564576328244
bace,classification,inner,raw,inner_fold,3,60,1.9123625226120933,1.2826078309655589,0.8903436058592917,2.4517965514720474,1.4076774881427787,0.8481390478472148,0.047402550806600496
