dataset,seed,outer_fold,pool_size,order_rule,order_replicate,selected_candidate,same_fold_gap,crossfit_gap,mean_inner_fit_seconds_of_eligible
esol,149,1,4,random,48,histgb_lr0.05,0.035001381714486524,0.035001381714486524,4.418850981464385
esol,149,2,4,random,48,lgbm_80_ff0.7,0.039825054023621353,0.0,4.418850981464385
esol,149,3,4,random,48,cat_100_d4,0.09747823357929497,0.09747823357929497,4.418850981464385
esol,149,1,8,random,48,et_120_d20_leaf2,0.17752346386060225,0.17752346386060225,6.2108563814631275
esol,149,2,8,random,48,lgbm_80_ff0.7,0.07187891126599211,0.0,6.2108563814631275
esol,149,3,8,random,48,et_120_d20_leaf2,0.014318659923644894,0.014318659923644894,6.2108563814631275
esol,149,1,16,random,48,lgbm_100_leaf10,0.05694928897617002,0.0,7.953753922207935
esol,149,2,16,random,48,lgbm_100_leaf10,0.0651629040424524,0.0,7.953753922207935
esol,149,3,16,random,48,lgbm_100_leaf10,0.08901529170345412,0.0,7.953753922207935
esol,149,1,32,random,48,ridge_a10,0.03284989524994475,0.0,15.472442359195727
esol,149,2,32,random,48,lgbm_100_leaf10,0.18794700385192686,0.18794700385192686,15.472442359195727
esol,149,3,32,random,48,ridge_a10,0.047699973754379954,0.0,15.472442359195727
esol,149,1,4,random,49,rf_60_sqrt,0.055900882574659194,-0.0010484064015108263,0.8192019962783277
esol,149,2,4,random,49,lgbm_100_leaf10,0.05894706401409566,0.0,0.8192019962783277
esol,149,3,4,random,49,lgbm_100_leaf10,0.09636235587460851,0.0,0.8192019962783277
esol,149,1,8,random,49,histgb_lr0.1,0.005853514883471522,0.0,5.404533481456046
esol,149,2,8,random,49,lgbm_100_leaf10,0.05894706401409566,0.028724069570197353,5.404533481456046
esol,149,3,8,random,49,lgbm_100_leaf10,0.09636235587460851,0.09539507791169433,5.404533481456046
esol,149,1,16,random,49,histgb_lr0.1,0.005853514883471522,0.0,10.497654451816167
esol,149,2,16,random,49,lgbm_100_leaf10,0.06486789279501837,0.028724069570197353,10.497654451816167
esol,149,3,16,random,49,lgbm_100_leaf10,0.09636235587460851,0.09539507791169433,10.497654451816167
esol,149,1,32,random,49,ridge_a10,0.03284989524994475,0.0,15.472442359195725
esol,149,2,32,random,49,lgbm_100_leaf10,0.18794700385192686,0.18794700385192686,15.472442359195725
esol,149,3,32,random,49,ridge_a10,0.047699973754379954,0.0,15.472442359195725
esol,149,1,4,random,50,et_90_leaf2,0.1352708044847768,0.1352708044847768,1.1219971925968781
esol,149,2,4,random,50,lgbm_80_ff0.7,0.039825054023621353,0.0,1.1219971925968781
esol,149,3,4,random,50,et_90_leaf2,0.0,-0.010402767528208345,1.1219971925968781
esol,149,1,8,random,50,et_90_leaf2,0.1352708044847768,0.10580096124703808,1.8675676629516387
esol,149,2,8,random,50,lgbm_100_leaf10,0.03310904680008164,0.0,1.8675676629516387
esol,149,3,8,random,50,lgbm_100_leaf10,0.09941805923166247,0.0,1.8675676629516387
esol,149,1,16,random,50,et_90_leaf2,0.1352708044847768,0.10580096124703808,7.32149423328573
esol,149,2,16,random,50,lgbm_100_leaf10,0.06486789279501837,0.0,7.32149423328573
esol,149,3,16,random,50,lgbm_100_leaf10,0.09941805923166247,0.0,7.32149423328573
esol,149,1,32,random,50,ridge_a10,0.03284989524994475,0.0,15.472442359195725
esol,149,2,32,random,50,lgbm_100_leaf10,0.18794700385192686,0.18794700385192686,15.472442359195725
esol,149,3,32,random,50,ridge_a10,0.047699973754379954,0.0,15.472442359195725
esol,149,1,4,random,51,rf_60_sqrt,0.0,-0.001246980652138907,0.7158036703455117
esol,149,2,4,random,51,lgbm_60_l63,0.12020369042003654,0.0,0.7158036703455117
esol,149,3,4,random,51,rf_60_sqrt,0.013708177024666535,0.013708177024666535,0.7158036703455117
esol,149,1,8,random,51,rf_60_sqrt,0.028421436836227887,0.028421436836227887,1.7107289592235302
