dataset,seed,outer_fold,pool_size,control,selected_candidate,available_opportunity,same_fold_gap,crossfit_gap,effective_rank,unique_candidates
bace,23,1,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556982,4
bace,23,2,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556982,4
bace,23,3,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0664554181556982,4
bace,23,1,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,2,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,3,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0664554181556976,4
bace,23,1,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0007635893011216366,0.0,0.0,1.0644265476473438,4
bace,23,2,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0015837145808735853,0.0,0.0,1.0644265476473438,4
bace,23,3,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.000706461242663381,0.0,0.0,1.0644265476473438,4
bace,23,1,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.0007635893011216366,0.0003645383951682568,0.0003645383951682568,1.0634580986257665,4
bace,23,2,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0015837145808735853,0.0,0.0,1.0634580986257665,4
bace,23,3,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.000706461242663381,0.00017867081562439324,0.00017867081562439324,1.0634580986257665,4
bace,23,1,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_17,0.0007635893011216366,0.000752085130860003,0.000752085130860003,1.0624359019964054,4
bace,23,2,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0015837145808735853,0.0,0.0,1.0624359019964054,4
bace,23,3,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_17,0.000706461242663381,0.0001343984011333843,0.0001343984011333843,1.0624359019964054,4
bace,37,1,4,registered,logreg_l2_c0.1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763069,4
bace,37,2,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,3,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,1,8,registered,rf_60_sqrt,0.013628472222222188,0.0008897569444444864,0.0008897569444444864,1.1414890632721764,8
bace,37,2,8,registered,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0,1.1414890632721764,8
bace,37,3,8,registered,rf_120_d20_leaf2,0.006573436760260565,0.0,-0.004169853235733156,1.1414890632721764,8
bace,37,1,16,registered,et_60_sqrt,0.02402343749999991,0.01068793402777779,0.006391059027777923,1.1627436644287987,16
bace,37,2,16,registered,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0022367013517456957,1.1627436644287987,16
bace,37,3,16,registered,et_90_leaf2,0.006573436760260565,0.0012382096944535403,0.0,1.1627436644287987,16
bace,37,1,32,registered,et_60_sqrt,0.02402343749999991,0.01068793402777779,0.006391059027777923,1.148237177055172,32
bace,37,2,32,registered,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0022367013517456957,1.148237177055172,32
bace,37,3,32,registered,et_90_leaf2,0.006573436760260565,0.0012382096944535403,0.0,1.148237177055172,32
bace,37,1,4,weak_added,logreg_l2_c0.1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763069,4
bace,37,2,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,3,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,1,8,weak_added,logreg_l2_c0.1,0.01589626736111116,0.01589626736111116,0.0,1.138774733188009,8
bace,37,2,8,weak_added,logreg_l2_c0.1,0.01313926977643809,0.01313926977643809,0.0,1.138774733188009,8
bace,37,3,8,weak_added,cat_60_d4,0.0,0.012172693834444193,0.012172693834444193,1.138774733188009,8
bace,37,1,16,weak_added,xgb_80_d5,0.02273220486111105,0.0,-0.0050238715277777235,1.1511168571727475,16
bace,37,2,16,weak_added,histgb_lr0.1,0.024528077625422973,0.0,-0.007120706235750451,1.1511168571727475,16
bace,37,3,16,weak_added,cat_60_d8,0.0,0.011580902436359786,0.007465676098911134,1.1511168571727475,16
bace,37,1,32,weak_added,et_60_sqrt,0.02402343749999991,0.01068793402777779,0.006391059027777923,1.148237177055172,32
bace,37,2,32,weak_added,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0022367013517456957,1.148237177055172,32
bace,37,3,32,weak_added,et_90_leaf2,0.006573436760260565,0.0012382096944535403,0.0,1.148237177055172,32
bace,37,1,4,complementary_strong_added,logreg_l2_c0.1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763069,4
bace,37,2,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,3,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,1,8,complementary_strong_added,rf_60_sqrt,0.019726562500000044,0.006987847222222343,0.006987847222222343,1.1599809475890066,8
bace,37,2,8,complementary_strong_added,rf_90_leaf2,0.033712600084281785,0.0022367013517456957,0.0022367013517456957,1.1599809475890066,8
bace,37,3,8,complementary_strong_added,et_90_leaf2,0.0053352270658070244,0.0,0.0,1.1599809475890066,8
bace,37,1,16,complementary_strong_added,et_90_d12,0.02402343749999991,0.0,-0.004296874999999867,1.1503203384208203,16
bace,37,2,16,complementary_strong_added,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0022367013517456957,1.1503203384208203,16
bace,37,3,16,complementary_strong_added,et_90_leaf2,0.006573436760260565,0.0012382096944535403,0.0,1.1503203384208203,16
bace,37,1,32,complementary_strong_added,et_60_sqrt,0.02402343749999991,0.01068793402777779,0.006391059027777923,1.148237177055173,32
bace,37,2,32,complementary_strong_added,rf_90_leaf2,0.03467427361232678,0.0031983748797906886,0.0022367013517456957,1.148237177055173,32
bace,37,3,32,complementary_strong_added,et_90_leaf2,0.006573436760260565,0.0012382096944535403,0.0,1.148237177055173,32
bace,37,1,4,exact_duplicate,base_1,0.009244791666666585,0.009244791666666585,0.0,1.050085442676307,4
bace,37,2,4,exact_duplicate,base_1,0.0,0.0,0.0,1.050085442676307,4
bace,37,3,4,exact_duplicate,base_1,0.0,0.0,0.0,1.050085442676307,4
bace,37,1,8,exact_duplicate,base_1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763067,4
bace,37,2,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763067,4
bace,37,3,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763067,4
bace,37,1,16,exact_duplicate,base_1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763069,4
bace,37,2,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,3,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,1,32,exact_duplicate,base_1,0.009244791666666585,0.009244791666666585,0.0,1.0500854426763069,4
bace,37,2,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,3,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0500854426763069,4
bace,37,1,4,near_duplicate_95pct_anchor,base_1,0.009244791666666585,0.009244791666666585,0.0,1.050085442676307,4
bace,37,2,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.050085442676307,4
bace,37,3,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.050085442676307,4
bace,37,1,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.009244791666666585,0.008607855902777684,0.0,1.0487704581322734,4
bace,37,2,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0012045231071780016,0.0,0.0,1.0487704581322734,4
bace,37,3,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,6.873884700819843e-05,0.0,0.0,1.0487704581322734,4
bace,37,1,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.009983723958333135,0.009316948784722112,-2.983940972212107e-05,1.0480150103014139,4
bace,37,2,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0014741158546468514,0.00026959274746884976,0.0,1.0480150103014139,4
bace,37,3,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.00020667176517707997,0.00013793291816888154,0.0,1.0480150103014139,4
bace,37,1,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.009983723958333135,0.009316948784722112,-2.983940972212107e-05,1.04716578817746,4
bace,37,2,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0014741158546468514,0.00026959274746884976,0.0,1.04716578817746,4
bace,37,3,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.00020667176517707997,0.00013793291816888154,0.0,1.04716578817746,4
bace,53,1,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,2,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,3,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,1,8,registered,rf_120_d20_leaf2,0.017377622377622304,0.0023601398601397205,0.0,1.1955261316610195,8
bace,53,2,8,registered,rf_90_d12,0.037693338204847326,0.0051455364754599,0.0051455364754599,1.1955261316610195,8
bace,53,3,8,registered,rf_120_d20_leaf2,0.02112570356472787,0.0067417135709819664,0.0,1.1955261316610195,8
bace,53,1,16,registered,et_90_leaf2,0.01868881118881116,0.00484265734265743,0.0,1.196667996988105,16
