dataset,seed,outer_fold,pool_size,selector,selected_candidate,fixed_k32_reference_candidate,outer_roc_auc,outer_pr_auc,outer_minority_recall,outer_majority_recall,outer_balanced_recall,outer_minority_miss_rate,target_metric,target_value,fixed_reference_target_value,fixed_reference_gap,constraint_target,inner_constraint_met
tdc_pgp_broccatelli,83,3,8,minority_constrained,rf_90_d12,et_90_leaf2,0.9049355269008448,0.929473412258514,0.8497109826589595,0.7794871794871795,0.8145990810730694,0.1502890173410405,outer_majority_recall,0.7794871794871795,0.8256410256410256,0.0461538461538461,0.8,1.0
tdc_pgp_broccatelli,83,3,16,roc_auc,et_60_sqrt,et_120_d20_leaf2,0.9136949755446866,0.93651847658882,0.9017341040462428,0.8051282051282052,0.853431154587224,0.09826589595375723,roc_auc,0.9136949755446866,0.9173855046687416,0.0036905291240549865,,
tdc_pgp_broccatelli,83,3,16,pr_auc,et_60_sqrt,et_120_d20_leaf2,0.9136949755446866,0.93651847658882,0.9017341040462428,0.8051282051282052,0.853431154587224,0.09826589595375723,pr_auc,0.93651847658882,0.9395750947858844,0.0030566181970643758,,
tdc_pgp_broccatelli,83,3,16,minority_constrained,rf_90_d12,et_90_leaf2,0.9049355269008448,0.929473412258514,0.8497109826589595,0.7794871794871795,0.8145990810730694,0.1502890173410405,outer_majority_recall,0.7794871794871795,0.8256410256410256,0.0461538461538461,0.8,1.0
tdc_pgp_broccatelli,83,3,32,roc_auc,et_60_sqrt,et_120_d20_leaf2,0.9136949755446866,0.93651847658882,0.9017341040462428,0.8051282051282052,0.853431154587224,0.09826589595375723,roc_auc,0.9136949755446866,0.9173855046687416,0.0036905291240549865,,
tdc_pgp_broccatelli,83,3,32,pr_auc,et_60_sqrt,et_120_d20_leaf2,0.9136949755446866,0.93651847658882,0.9017341040462428,0.8051282051282052,0.853431154587224,0.09826589595375723,pr_auc,0.93651847658882,0.9395750947858844,0.0030566181970643758,,
tdc_pgp_broccatelli,83,3,32,minority_constrained,rf_90_d12,et_90_leaf2,0.9049355269008448,0.929473412258514,0.8497109826589595,0.7794871794871795,0.8145990810730694,0.1502890173410405,outer_majority_recall,0.7794871794871795,0.8256410256410256,0.0461538461538461,0.8,1.0
tdc_pgp_broccatelli,97,1,4,roc_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.8954831332189823,0.9266786540699288,0.8490566037735849,0.8303030303030303,0.8396798170383076,0.15094339622641506,roc_auc,0.8954831332189823,0.9159900895749952,0.02050695635601285,,
tdc_pgp_broccatelli,97,1,4,pr_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.8954831332189823,0.9266786540699288,0.8490566037735849,0.8303030303030303,0.8396798170383076,0.15094339622641506,pr_auc,0.9266786540699288,0.9401581775155876,0.013479523445658836,,
tdc_pgp_broccatelli,97,1,4,minority_constrained,logreg_l1_c1,et_90_leaf2,0.8984181437011626,0.9218740241676144,0.8050314465408805,0.8545454545454545,0.8297884505431675,0.19496855345911945,outer_majority_recall,0.8545454545454545,0.8424242424242424,-0.012121212121212088,0.8,1.0
