dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bace,149,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,1,16,pr_auc,1,0.0013715163484748771,0.004370856238425702,0.041474654377880116,0.020737327188940058
bace,149,1,32,pr_auc,1,-0.002880184331797042,0.005941764463507471,0.0,0.01388888888888884
bace,149,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,3,8,pr_auc,1,0.008010923987255336,0.015280097003493975,0.03550295857988173,0.01198224852071017
bace,149,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,149,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,2,16,pr_auc,1,-0.024327893996847094,-0.013389092261433588,0.0,-0.01565762004175353
bbbp,11,2,32,pr_auc,1,-0.024327893996847094,-0.013389092261433588,0.0,-0.01565762004175353
bbbp,11,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,11,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,23,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,23,1,8,pr_auc,1,-0.002119005025981613,0.0022673334841445403,0.01744186046511631,-0.028824857313229257
bbbp,23,1,16,pr_auc,1,-0.013512650140557025,-0.002333879741176048,0.011627906976744207,-0.04638384870943002
bbbp,23,1,32,pr_auc,1,-0.013512650140557025,-0.002333879741176048,0.011627906976744207,-0.04638384870943002
bbbp,23,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,23,2,8,pr_auc,1,0.017092886537330987,0.0070199325179467476,0.021428571428571463,0.025117577895355736
bbbp,23,2,16,pr_auc,1,-0.02104644326866545,-0.010913363766666184,0.0071428571428571175,-0.02009112286890069
bbbp,23,2,32,pr_auc,1,-0.02104644326866545,-0.010913363766666184,0.0071428571428571175,-0.02009112286890069
bbbp,23,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,23,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,23,3,16,pr_auc,1,-0.014902014153511112,-0.008083427055214587,-0.029940119760478945,-0.017810968971148533
bbbp,23,3,32,pr_auc,1,-0.014902014153511112,-0.008083427055214587,-0.029940119760478945,-0.017810968971148533
bbbp,37,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,1,8,pr_auc,1,-0.01534133533383375,-0.0053576590101823696,0.024193548387096753,-0.03325206301575401
bbbp,37,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,37,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,1,16,pr_auc,1,0.008262602880658387,0.0035708321112239982,0.012345679012345734,0.0044367283950617065
bbbp,53,1,32,pr_auc,1,0.008262602880658387,0.0035708321112239982,0.012345679012345734,0.0044367283950617065
bbbp,53,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,2,32,pr_auc,0,0.0,0.0,0.0,0.0
