candidate,representation,family,source,pool,pool_order
hom::order17,morgan512,boosting,homogeneous,Homogeneous Morgan,18
hom::order18,morgan512,boosting,homogeneous,Homogeneous Morgan,19
hom::order19,morgan512,boosting,homogeneous,Homogeneous Morgan,20
hom::order20,morgan512,boosting,homogeneous,Homogeneous Morgan,21
hom::order21,morgan512,boosting,homogeneous,Homogeneous Morgan,22
hom::order22,morgan512,boosting,homogeneous,Homogeneous Morgan,23
hom::order23,morgan512,boosting,homogeneous,Homogeneous Morgan,24
hom::order24,morgan512,boosting,homogeneous,Homogeneous Morgan,25
hom::order25,morgan512,boosting,homogeneous,Homogeneous Morgan,26
hom::order26,morgan512,boosting,homogeneous,Homogeneous Morgan,27
hom::order27,morgan512,boosting,homogeneous,Homogeneous Morgan,28
hom::order28,morgan512,boosting,homogeneous,Homogeneous Morgan,29
hom::order29,morgan512,boosting,homogeneous,Homogeneous Morgan,30
hom::order30,morgan512,boosting,homogeneous,Homogeneous Morgan,31
hom::order31,morgan512,boosting,homogeneous,Homogeneous Morgan,32
morgan512__linear,morgan512,linear,multiview_base,Modern-augmented,1
chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,chemprop_dmpnn:小论文-12_严格补实验,Modern-augmented,2
maccs__linear,maccs,linear,multiview_base,Modern-augmented,3
chemberta_mtr__linear,chemberta_mtr,linear,new_nested_candidates,Modern-augmented,4
rdkit2d__linear,rdkit2d,linear,multiview_base,Modern-augmented,5
chemberta_mlm__linear,chemberta_mlm,linear,new_nested_candidates,Modern-augmented,6
multiview__linear,multiview,linear,multiview_base,Modern-augmented,7
molformer__linear,molformer,linear,new_nested_candidates,Modern-augmented,8
morgan512__random_forest,morgan512,random_forest,multiview_base,Modern-augmented,9
chemberta_mtr__linear_alt,chemberta_mtr,linear_alt,new_nested_candidates,Modern-augmented,10
maccs__random_forest,maccs,random_forest,multiview_base,Modern-augmented,11
chemberta_mlm__linear_alt,chemberta_mlm,linear_alt,new_nested_candidates,Modern-augmented,12
rdkit2d__random_forest,rdkit2d,random_forest,multiview_base,Modern-augmented,13
molformer__linear_alt,molformer,linear_alt,new_nested_candidates,Modern-augmented,14
multiview__random_forest,multiview,random_forest,multiview_base,Modern-augmented,15
chemberta_mtr__linear_strong,chemberta_mtr,linear_strong,new_nested_candidates,Modern-augmented,16
morgan512__lightgbm,morgan512,lightgbm,multiview_base,Modern-augmented,17
chemberta_mlm__linear_strong,chemberta_mlm,linear_strong,new_nested_candidates,Modern-augmented,18
maccs__lightgbm,maccs,lightgbm,multiview_base,Modern-augmented,19
molformer__linear_strong,molformer,linear_strong,new_nested_candidates,Modern-augmented,20
rdkit2d__lightgbm,rdkit2d,lightgbm,multiview_base,Modern-augmented,21
chemberta_mtr__linear_sparse,chemberta_mtr,linear_sparse,new_nested_candidates,Modern-augmented,22
multiview__lightgbm,multiview,lightgbm,multiview_base,Modern-augmented,23
chemberta_mlm__linear_sparse,chemberta_mlm,linear_sparse,new_nested_candidates,Modern-augmented,24
morgan512__extra_trees,morgan512,extra_trees,new_nested_candidates,Modern-augmented,25
molformer__linear_sparse,molformer,linear_sparse,new_nested_candidates,Modern-augmented,26
maccs__extra_trees,maccs,extra_trees,new_nested_candidates,Modern-augmented,27
chemberta_mtr__lightgbm,chemberta_mtr,lightgbm,new_nested_candidates,Modern-augmented,28
rdkit2d__extra_trees,rdkit2d,extra_trees,new_nested_candidates,Modern-augmented,29
chemberta_mlm__lightgbm,chemberta_mlm,lightgbm,new_nested_candidates,Modern-augmented,30
multiview__extra_trees,multiview,extra_trees,new_nested_candidates,Modern-augmented,31
molformer__lightgbm,molformer,lightgbm,new_nested_candidates,Modern-augmented,32
