pool,task,task_type,candidate_count,selected_representation,selected_family,selected_count,selected_proportion
Full modern-augmented,bbbp,classification,16,rdkit2d,random_forest,3,0.2
Full modern-augmented,bbbp,classification,32,multiview,extra_trees,9,0.6
Full modern-augmented,bbbp,classification,32,multiview,random_forest,1,0.06666666666666667
Full modern-augmented,bbbp,classification,32,rdkit2d,extra_trees,5,0.3333333333333333
Full modern-augmented,clintox,classification,16,maccs,random_forest,7,0.4666666666666667
Full modern-augmented,clintox,classification,16,multiview,random_forest,5,0.3333333333333333
Full modern-augmented,clintox,classification,16,rdkit2d,random_forest,3,0.2
Full modern-augmented,clintox,classification,32,maccs,lightgbm,2,0.13333333333333333
Full modern-augmented,clintox,classification,32,multiview,lightgbm,13,0.8666666666666667
Full modern-augmented,esol,regression,16,chemberta_mtr,linear_alt,1,0.06666666666666667
Full modern-augmented,esol,regression,16,rdkit2d,random_forest,14,0.9333333333333333
Full modern-augmented,esol,regression,32,multiview,lightgbm,5,0.3333333333333333
Full modern-augmented,esol,regression,32,rdkit2d,lightgbm,10,0.6666666666666666
Full modern-augmented,lipo,regression,16,rdkit2d,linear,5,0.3333333333333333
Full modern-augmented,lipo,regression,16,rdkit2d,random_forest,10,0.6666666666666666
Full modern-augmented,lipo,regression,32,multiview,lightgbm,15,1.0
Full modern-augmented,tdc_caco2_wang,regression,16,multiview,random_forest,4,0.26666666666666666
Full modern-augmented,tdc_caco2_wang,regression,16,rdkit2d,linear,4,0.26666666666666666
Full modern-augmented,tdc_caco2_wang,regression,16,rdkit2d,random_forest,7,0.4666666666666667
Full modern-augmented,tdc_caco2_wang,regression,32,multiview,extra_trees,1,0.06666666666666667
Full modern-augmented,tdc_caco2_wang,regression,32,multiview,lightgbm,3,0.2
Full modern-augmented,tdc_caco2_wang,regression,32,rdkit2d,extra_trees,1,0.06666666666666667
Full modern-augmented,tdc_caco2_wang,regression,32,rdkit2d,lightgbm,10,0.6666666666666666
