pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
Classical multiview,bbbp,classification,32,row_centred,15,32,19.284079928920647,11.658844159120619,-0.022176735120019754,0.4303574442304945,"[0.01344867013220293, 0.013448670132202934, 0.013448670132202939, 0.013448670132202946, 0.013448670132202948, 0.013448670132202948, 0.013448670132202948, 0.013448670132202951, 0.013448670132202953, 0.013448670132202955, 0.013448670132202958, 0.013448670132202958, 0.013448670132202961, 0.013448670132202963, 0.013448670132202967, 0.013448670132202968, 0.013448670132202975, 0.01344867013220298, 0.015107024761839994, 0.01702788135959461, 0.017511217272612078, 0.019259057073797846, 0.02187064089123988, 0.02531057339780035, 0.02747109590600219, 0.031659321783905514, 0.03579997304330208, 0.04527502685146445, 0.06610659066067368, 0.0802257644924798, 0.15327918744742636, 0.20202058267820805]",0.6026274977787702
Classical multiview,bbbp,classification,32,shared_morgan_linear_relative,15,32,4.401033381604326,2.0204655737428494,0.7030213411185304,0.13355923701554898,"[0.00430836248437251, 0.00430836248437253, 0.004308362484372532, 0.0043083624843725365, 0.00430836248437254, 0.004308362484372541, 0.004308362484372543, 0.004308362484372545, 0.004308362484372547, 0.004308362484372551, 0.004308362484372553, 0.004308362484372558, 0.004308362484372558, 0.004308362484372562, 0.00430836248437257, 0.004308362484372571, 0.004308362484372603, 0.004872761673146476, 0.005076224278268732, 0.0055051927338552, 0.006040799543716046, 0.007009553143161986, 0.007467470729331947, 0.008800996554188327, 0.011182907175038196, 0.014232841356065019, 0.015294810909869765, 0.030540571958437193, 0.05253764224010685, 0.060793082246564614, 0.6974029832239163]",0.13753229317513518
Classical multiview,bbbp,classification,32,fixed_morgan_rf_relative,15,32,9.946663219942257,4.154660252287655,0.44388899699595524,0.27677281295009637,"[0.008928155256454687, 0.008928155256454703, 0.008928155256454705, 0.008928155256454712, 0.008928155256454712, 0.008928155256454715, 0.008928155256454715, 0.008928155256454719, 0.008928155256454719, 0.008928155256454722, 0.008928155256454726, 0.00892815525645473, 0.008928155256454733, 0.008928155256454736, 0.008928155256454738, 0.008928155256454741, 0.00892815525645482, 0.010017707499387279, 0.010552910365363318, 0.011381974010079461, 0.011733827815200056, 0.014591618370720693, 0.015435477238314824, 0.02000772798920255, 0.022153000261297972, 0.0258139082044202, 0.02958681110782471, 0.0440093777242122, 0.05791561374769478, 0.10673502628349459, 0.468286380023057]",0.31083322562319554
Classical multiview,bbbp,classification,32,registry_median_relative,15,32,16.343261139873224,8.94009332973574,0.17758997644366942,0.3819752294818295,"[0.012321781596188026, 0.012321781596188033, 0.01232178159618804, 0.012321781596188042, 0.012321781596188042, 0.012321781596188046, 0.012321781596188046, 0.012321781596188049, 0.012321781596188052, 0.012321781596188054, 0.012321781596188054, 0.012321781596188056, 0.012321781596188058, 0.012321781596188063, 0.012321781596188068, 0.012321781596188078, 0.012321781596188089, 0.013774910189562164, 0.01564247505373858, 0.015935621819689876, 0.017736684870348213, 0.018372664664616543, 0.023254272004193433, 0.02521735686455267, 0.027792235786637056, 0.032970354100912605, 0.039254794858555285, 0.05970462728157602, 0.09745943864162278, 0.13491457676484742, 0.26849969996395057]",0.5107269106210383
Classical multiview,bbbp,classification,32,within_unit_rank,15,32,25.32091557102823,18.69077832681391,-0.011621943244875366,0.5925362560177877,"[0.01851675800055582, 0.018516758000555827, 0.018516758000555838, 0.018516758000555845, 0.018516758000555848, 0.018516758000555855, 0.018516758000555855, 0.01851675800055586, 0.018516758000555862, 0.018516758000555866, 0.01851675800055587, 0.01851675800055587, 0.01851675800055587, 0.018516758000555873, 0.018516758000555876, 0.018516758000555876, 0.01851675800055589, 0.01851675800055589, 0.02252758757042021, 0.023150542264408075, 0.02496187172205181, 0.02593061343472833, 0.028124131868563197, 0.029958105125039585, 0.03301831017532449, 0.038302901592755165, 0.0400812332318787, 0.04395897076378816, 0.05585362196934525, 0.058402693073856246, 0.09580782596381422, 0.14661994723402105]",0.7912786115946322
Classical multiview,clintox,classification,4,raw,15,4,4.0,4.0,0.0,1.0,"[0.25, 0.25, 0.25, 0.25]",1.0
Classical multiview,clintox,classification,4,row_centred,15,4,3.874417977635212,3.7684443103706338,-0.11381359630131752,0.6425240801662752,"[0.16063102004156876, 0.2313703965131573, 0.2795476350321867, 0.32845094841308725]",0.968604494408803
Classical multiview,clintox,classification,4,shared_morgan_linear_relative,15,4,2.5640090780151583,2.2450451772385995,0.4111446721879029,0.3394909280660545,"[0.174184939130813, 0.22042417462323005, 0.605390886245957]",0.6410022695037896
Classical multiview,clintox,classification,4,fixed_morgan_rf_relative,15,4,3.9149814260570297,3.826892634853352,0.12778876429382185,0.7241934849079894,"[0.2021015091049159, 0.21594534221415165, 0.24356103436840867, 0.33839211431252375]",0.9787453565142574
Classical multiview,clintox,classification,4,registry_median_relative,15,4,2.595390601336948,2.2897976604731247,0.39262374613824996,0.3817724465107839,"[0.18093687248258236, 0.22439721377546093, 0.5946659137419569]",0.648847650334237
Classical multiview,clintox,classification,4,within_unit_rank,15,4,3.8046940062793984,3.6297086097064866,-0.19288075898475626,0.6152742843258183,"[0.15381857108145455, 0.21726885493695094, 0.2558355220299012, 0.37307705195169344]",0.9511735015698496
Classical multiview,clintox,classification,8,raw,15,8,6.75381315603424,5.555053922688707,0.2553009151788789,0.5233840730286269,"[0.06798005716070267, 0.07567897679434718, 0.08192228506827631, 0.0859488180843137, 0.09218289216692098, 0.12239686854168952, 0.13743473745425588, 0.33645536472949383]",0.84422664450428
Classical multiview,clintox,classification,8,row_centred,15,8,7.887266837893197,7.770523097999522,-0.023588797428997263,0.8120187911958767,"[0.10150234889948458, 0.10410356732968772, 0.11124484152944165, 0.11878391233587338, 0.11992359781756422, 0.1269569987339496, 0.14957378238349148, 0.16791095097050737]",0.9859083547366496
Classical multiview,clintox,classification,8,shared_morgan_linear_relative,15,8,3.668193231831139,2.4102562606524653,0.5633835788006162,0.19966722108205268,"[0.03141435969669961, 0.040464525554862664, 0.0488690644533413, 0.050298831017787635, 0.08198243754904218, 0.12686072599520382, 0.6201100557330629]",0.4585241539788924
Classical multiview,clintox,classification,8,fixed_morgan_rf_relative,15,8,5.820346827487836,4.816251305650644,0.25710099492353805,0.4099153314046276,"[0.06471163125213358, 0.07804503489176393, 0.08922055382407151, 0.10504910123871591, 0.13090622433509633, 0.16685764552005417, 0.3652098089381647]",0.7275433534359795
Classical multiview,clintox,classification,8,registry_median_relative,15,8,4.341523711604469,2.999875110571364,0.4130170721516814,0.25928502217509997,"[0.04008360966895766, 0.049652297037913344, 0.05798545691229461, 0.06331082896796274, 0.10267134078535156, 0.14838970898212056, 0.5379067576453995]",0.5426904639505586
Classical multiview,clintox,classification,8,within_unit_rank,15,8,7.708789491479126,7.4245326513006535,-0.03465381053714793,0.6927115001273475,"[0.08658893751591842, 0.08986610284393265, 0.10126015860528599, 0.10495952543660232, 0.12661826030420012, 0.1452231906818487, 0.14990078054876232, 0.19558304406344953]",0.9635986864348908
Classical multiview,clintox,classification,16,raw,15,16,8.498472736474657,4.573971483058992,0.4213703134504182,0.3373740338456057,"[0.02108587711535036, 0.021085877115350378, 0.021349377202456738, 0.022826157663623094, 0.02330021436369052, 0.024587471059040366, 0.028365328665385253, 0.030482010067910303, 0.0316233829722456, 0.034618144752984165, 0.038735364079286023, 0.04527970713061755, 0.054548796204717837, 0.07865294995583053, 0.08571077194558499, 0.43774856970592624]",0.531154546029666
