task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
bace,32,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.007686210924358476,5,0
bace,32,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.0009532367475201624,4,1
bace,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.1471264367816092,2,1
bace,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.31694920325354053,3,2
bbbp,4,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,-0.0023253900554752885,1,4
bbbp,4,Classical multiview - Homogeneous Morgan,selected_model_gain,-0.020392500222576486,0,5
bbbp,4,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.012947694095511659,4,0
bbbp,4,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
bbbp,4,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.7420289855072465,0,5
bbbp,4,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,-0.012468161611913057,0,5
bbbp,4,Modern-augmented - Homogeneous Morgan,selected_model_gain,-0.031629715619214016,0,5
bbbp,4,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.005726259718876066,5,0
bbbp,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
bbbp,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.765217391304348,0,5
bbbp,8,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.02105929059001463,5,0
bbbp,8,Classical multiview - Homogeneous Morgan,selected_model_gain,0.027628041727696145,5,0
bbbp,8,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0008857810292455543,3,2
bbbp,8,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.10666666666666666,1,0
bbbp,8,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.31132146345128087,3,1
bbbp,8,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,-0.022315705933094624,0,5
bbbp,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,-0.04015829708918853,0,5
bbbp,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.016510430024368628,5,0
bbbp,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-1.28,0,5
bbbp,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.41902186161821053,1,4
