pool,task,task_type,candidate_count,common_prefix_candidate_count,transformation,n_outer_units,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank,definition_note
Classical multiview,clintox,classification,32,29,row_centred,15,27.387905393286907,25.55443788171443,-0.005987437570331516,0.7808445173116543,"[0.026925673010746658, 0.02692567301074666, 0.026925673010746675, 0.026925673010746682, 0.026925673010746685, 0.02692567301074669, 0.026925673010746692, 0.026925673010746696, 0.0269256730107467, 0.0269256730107467, 0.026925673010746706, 0.026925673010746713, 0.026925673010746717, 0.026925673010746734, 0.02692567301074675, 0.027903441687161475, 0.028863515341618295, 0.03006046306542445, 0.030701112900817392, 0.0327418822504303, 0.034325786519779904, 0.036541922662489665, 0.03815164610772635, 0.04043475643728683, 0.04356466043929419, 0.054594801894383205, 0.05962120781291156, 0.06283308173289208, 0.07577662598658381]",0.9444105308029968,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,clintox,classification,32,29,within_unit_rank,15,27.761939049875977,26.312701487739247,-0.00750201860055133,0.8108589879186151,"[0.02796065475581429, 0.02796065475581429, 0.027960654755814298, 0.027960654755814298, 0.0279606547558143, 0.02796065475581431, 0.027960654755814312, 0.02796065475581432, 0.02796065475581432, 0.027960654755814322, 0.027960654755814326, 0.027960654755814326, 0.027960654755814333, 0.027960654755814343, 0.027960654755814354, 0.028612752686905385, 0.02986740939263505, 0.030425916402322173, 0.032886008412310326, 0.033095821986448365, 0.03428922076412975, 0.03608819156602607, 0.03731987960544722, 0.04023909094476178, 0.043394332550354554, 0.04680286724552259, 0.05212729449927432, 0.06536565747019317, 0.0700757351364545]",0.9573082430991716,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,16,14,raw,15,3.7186978330891303,2.670968139705411,0.32104607273669333,0.10086455569691696,"[0.007204611121208302, 0.007204611121208326, 0.00720461112120835, 0.0072046111212083624, 0.007204611121208376, 0.0072046111212084015, 0.007318114965906416, 0.007439142665146047, 0.007616241747007269, 0.008784707890886114, 0.026376536476108516, 0.04080301561991112, 0.3903264107791861, 0.4681081631285982]",0.2656212737920807,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,16,14,row_centred,15,3.9263789184267424,2.646929741163761,0.09347472145627835,0.10927633325027522,"[0.007805452375019639, 0.00780545237501966, 0.0078054523750196655, 0.007805452375019666, 0.007805452375019688, 0.007805452375019715, 0.007994763231700393, 0.008731946713177794, 0.00915356127852161, 0.01084991874147659, 0.03491286845904562, 0.054816715874257745, 0.28856885427770934, 0.5381386571739929]",0.2804556370304816,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,16,14,within_unit_rank,15,7.213824108330343,4.966164499177868,-0.09323076388415172,0.2433853499574984,"[0.018721949996730627, 0.018721949996730658, 0.0188024425967714, 0.019426388311679477, 0.020051000988266114, 0.021868359360115212, 0.022252582852395647, 0.03709100425779385, 0.05903295211916105, 0.0850040054309026, 0.0942766119225345, 0.23486823263394355, 0.3498825195329753]",0.5152731505950244,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,32,28,raw,15,9.146331463936832,5.180406070146423,0.23089617510846625,0.20490172215775623,"[0.007317918648491271, 0.007317918648491273, 0.00731791864849128, 0.007317918648491286, 0.00731791864849129, 0.007317918648491294, 0.007317918648491296, 0.0073179186484913, 0.007317918648491301, 0.007317918648491304, 0.007317918648491307, 0.007317918648491316, 0.007317918648491326, 0.0073179186484913505, 0.0074490341594757445, 0.0075735589095180505, 0.007988487479856756, 0.008742256059451307, 0.009710236711611798, 0.010539578538963746, 0.013175469311633872, 0.015243845970778195, 0.02191635245996292, 0.04315430116235237, 0.049288389564645936, 0.14964907898155605, 0.2014459367413272, 0.35167261286998786]",0.32665469514060114,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,32,28,row_centred,15,10.744971669579074,6.0392375578708,-0.0249556327385045,0.2475607136268353,"[0.008841454058101232, 0.00884145405810124, 0.008841454058101243, 0.008841454058101248, 0.00884145405810125, 0.008841454058101255, 0.008841454058101259, 0.008841454058101259, 0.008841454058101264, 0.008841454058101267, 0.00884145405810127, 0.008841454058101272, 0.008841454058101285, 0.008841454058101357, 0.009060007686259794, 0.009254321359777766, 0.009733826517560712, 0.010632623654098599, 0.011122240930770298, 0.012452339209524415, 0.015593247650584273, 0.02079581108615696, 0.029081605493948393, 0.04938593483084672, 0.06753442804920368, 0.09789115821540269, 0.22607996561638125, 0.30760213288606686]",0.3837489881992527,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,esol,regression,32,28,within_unit_rank,15,13.749235048899058,7.900728055063006,-0.045626303402098375,0.3063486470208516,"[0.010941023107887533, 0.010941023107887537, 0.010941023107887545, 0.01094102310788755, 0.010941023107887552, 0.010941023107887554, 0.010941023107887556, 0.010941023107887556, 0.010941023107887563, 0.010941023107887566, 0.010941023107887566, 0.010941023107887573, 0.010941023107887582, 0.010941023107887587, 0.012146780490481323, 0.012974271513340373, 0.013603299732279805, 0.015386843154702514, 0.01788823725177759, 0.020224344890989725, 0.024488161647718148, 0.02846629190729398, 0.04308963661824288, 0.054623236997425564, 0.06416733125425712, 0.10926606603824679, 0.1502295480592271, 0.2802716269335913]",0.49104410888925204,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,lipo,regression,16,15,raw,15,3.525374804034546,2.258099956002803,0.12340467735208094,0.09040201317834409,"[0.006026800878556233, 0.006026800878556251, 0.006026800878556263, 0.006026800878556278, 0.006026800878556291, 0.0060268008785563385, 0.006232235480157535, 0.00632166073256798, 0.0070880620672452155, 0.007465152319277793, 0.00978155790270474, 0.014904721988632564, 0.11090190479045674, 0.16721101763350193, 0.6339328818141179]",0.2350249869356364,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,lipo,regression,16,15,row_centred,15,3.721731527101836,2.306964605616569,0.009701922147295105,0.10463339655473697,"[0.006975559770315754, 0.006975559770315773, 0.0069755597703157835, 0.006975559770315799, 0.006975559770315816, 0.006975559770315826, 0.007320552356583091, 0.007556949969456333, 0.00869349960356479, 0.009914284924735884, 0.012629057206776801, 0.017110166377177712, 0.10223145197435753, 0.16417005307336155, 0.6285206258920916]",0.2481154351401224,effective rank of the candidate prefix common to all budget-matched outer units
