pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches
Classical multiview,esol,regression,8,-0.0,-0.0,8,-0.0,-0.0,rdkit2d__random_forest,1.0,1.0,0.0,0
Classical multiview,esol,regression,16,0.6365141682948128,0.22957395851362236,16,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
Classical multiview,esol,regression,32,1.6170531525095537,0.46658291279587955,32,0.9709505944546688,0.7773048806327834,multiview__lightgbm,0.3333333333333333,0.3333333333333333,2.0,2
Classical multiview,lipo,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
Classical multiview,lipo,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,rdkit2d__random_forest,0.6666666666666666,0.6666666666666666,1.0,1
Classical multiview,lipo,regression,16,-0.0,-0.0,16,-0.0,-0.0,multiview__lightgbm,1.0,1.0,0.0,0
Classical multiview,lipo,regression,32,0.39267446722755217,0.11330190131058106,32,-0.0,0.5665095065529053,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.8,2
Classical multiview,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
Classical multiview,tdc_caco2_wang,regression,8,1.0606018056124555,0.51004165510499,8,0.8366407419411673,0.8366407419411673,rdkit2d__random_forest,0.4666666666666667,0.26666666666666666,1.2,2
Classical multiview,tdc_caco2_wang,regression,16,0.953271014705891,0.3438198413848448,16,0.8366407419411673,0.5665095065529053,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
Classical multiview,tdc_caco2_wang,regression,32,1.454867109266288,0.41978591273818705,32,0.9709505944546688,0.7919799924384826,multiview__xgboost,0.4,0.26666666666666666,1.8,2
Homogeneous Morgan,bace,classification,4,0.24493002679463532,0.17667966751071065,4,-0.0,-0.0,hom::order01,0.9333333333333333,0.9333333333333333,0.2,1
Homogeneous Morgan,bace,classification,8,0.9701157839869381,0.4665270768820215,8,-0.0,-0.0,hom::order07,0.5333333333333333,0.3333333333333333,0.8,2
Homogeneous Morgan,bace,classification,16,1.7670091910745693,0.637313849292125,16,-0.0,-0.0,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2
Homogeneous Morgan,bace,classification,32,1.7670091910745693,0.5098510794337,32,-0.0,0.3533593350214213,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2
Homogeneous Morgan,bbbp,classification,4,-0.0,-0.0,4,-0.0,-0.0,hom::order01,1.0,1.0,0.0,0
Homogeneous Morgan,bbbp,classification,8,0.6730116670092565,0.32365019815155627,8,-0.0,-0.0,hom::order07,0.6,0.6,1.4,2
Homogeneous Morgan,bbbp,classification,16,0.8033149761408755,0.2897346330875693,16,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2
Homogeneous Morgan,bbbp,classification,32,0.8033149761408755,0.23178770647005542,32,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2
Homogeneous Morgan,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,hom::order01,1.0,1.0,0.0,0
Homogeneous Morgan,clintox,classification,8,0.6909233093138181,0.33226387732721224,8,-0.0,-0.0,hom::order06,0.5333333333333333,0.3333333333333333,0.6,1
Homogeneous Morgan,clintox,classification,16,2.1186492470699507,0.7641411905327385,16,-0.0,0.5665095065529053,hom::order06,0.2,0.2,2.0,2
Homogeneous Morgan,clintox,classification,32,2.3034884952192693,0.6646462857595241,32,-0.0,0.9709505944546688,hom::order27,0.2,0.06666666666666667,2.0,2
Homogeneous Morgan,esol,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0
Homogeneous Morgan,esol,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
Homogeneous Morgan,esol,regression,16,0.6365141682948128,0.22957395851362236,16,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
Homogeneous Morgan,esol,regression,32,0.6365141682948128,0.1836591668108979,32,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,1.0,1
Homogeneous Morgan,lipo,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0
Homogeneous Morgan,lipo,regression,8,0.7298712099831165,0.3509938583767565,8,-0.0,0.7219280948873623,hom::order05,0.7333333333333333,0.7333333333333333,0.8,2
Homogeneous Morgan,lipo,regression,16,-0.0,-0.0,16,-0.0,-0.0,hom::order14,1.0,1.0,0.0,0
Homogeneous Morgan,lipo,regression,32,0.5799151714181009,0.16732814838823346,32,-0.0,-0.0,hom::order23,0.7333333333333333,0.7333333333333333,1.0,2
Homogeneous Morgan,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0
Homogeneous Morgan,tdc_caco2_wang,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,2.0,2
Homogeneous Morgan,tdc_caco2_wang,regression,16,0.6365141682948128,0.22957395851362236,16,-0.0,0.9182958340544894,hom::order14,0.6666666666666666,0.6666666666666666,1.0,1
Homogeneous Morgan,tdc_caco2_wang,regression,32,0.9701157839869381,0.2799162461292129,32,-0.0,0.9182958340544894,hom::order14,0.5333333333333333,0.5333333333333333,1.4,2
Modern-augmented,bace,classification,4,0.5004024235381879,0.36096404744368116,4,0.7219280948873623,-0.0,chemberta_mtr__linear,0.8,0.8,0.0,0
Modern-augmented,bace,classification,8,1.1710598699903711,0.5631607556730609,8,0.8447411335095913,-0.0,molformer__linear,0.4666666666666667,0.4666666666666667,1.4,2
Modern-augmented,bace,classification,16,0.8608513906312316,0.31048650805151146,16,0.7835807040488098,-0.0,multiview__random_forest,0.6666666666666666,0.6666666666666666,1.0,2
Modern-augmented,bace,classification,32,0.953271014705891,0.2750558731078758,32,0.44155167050817345,0.7219280948873623,multiview__extra_trees,0.6666666666666666,0.6666666666666666,1.0,2
Modern-augmented,bbbp,classification,4,0.6909233093138181,0.49839581599081834,4,0.9967916319816367,-0.0,maccs__linear,0.5333333333333333,0.3333333333333333,1.4,2
Modern-augmented,bbbp,classification,8,1.6914343362809572,0.8134079763139508,8,0.9440074771920581,-0.0,multiview__linear,0.26666666666666666,0.06666666666666667,1.4,2
Modern-augmented,bbbp,classification,16,0.5004024235381879,0.18048202372184058,16,0.7219280948873623,-0.0,multiview__random_forest,0.8,0.8,1.0,2
Modern-augmented,bbbp,classification,32,0.8532361505557784,0.2461919126228021,32,0.9182958340544894,0.3533593350214213,multiview__extra_trees,0.6,0.6,1.0,1
Modern-augmented,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0
Modern-augmented,clintox,classification,8,0.8532361505557784,0.41031985437133683,8,0.7766490138119515,-0.0,maccs__linear,0.6,0.6,1.0,2
Modern-augmented,clintox,classification,16,1.0437570363314086,0.37645577505207123,16,0.9500685975366211,-0.0,maccs__random_forest,0.4666666666666667,0.4666666666666667,2.0,2
Modern-augmented,clintox,classification,32,0.39267446722755217,0.11330190131058106,32,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2
Modern-augmented,esol,regression,4,0.6365141682948128,0.4591479170272447,4,0.9182958340544894,-0.0,chemberta_mtr__linear,0.6666666666666666,0.6666666666666666,0.8,1
Modern-augmented,esol,regression,8,0.39267446722755217,0.18883650218430179,8,0.5665095065529053,-0.0,rdkit2d__linear,0.8666666666666667,0.8666666666666667,0.4,1
Modern-augmented,esol,regression,16,0.24493002679463532,0.08833983375535533,16,0.3533593350214213,0.3533593350214213,rdkit2d__random_forest,0.9333333333333333,0.9333333333333333,0.2,1
Modern-augmented,esol,regression,32,0.6365141682948128,0.1836591668108979,32,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
Modern-augmented,lipo,regression,4,0.5799151714181009,0.41832037097058367,4,0.8366407419411673,-0.0,chemberta_mtr__linear,0.7333333333333333,0.7333333333333333,0.8,2
Modern-augmented,lipo,regression,8,0.6277052571971504,0.30186242056608675,8,0.5713619478607342,-0.0,rdkit2d__linear,0.8,0.8,0.6,1
Modern-augmented,lipo,regression,16,0.6365141682948128,0.22957395851362236,16,-0.0,0.9182958340544894,rdkit2d__random_forest,0.6666666666666666,0.6666666666666666,1.0,1
Modern-augmented,lipo,regression,32,-0.0,-0.0,32,-0.0,-0.0,multiview__lightgbm,1.0,1.0,0.0,0
Modern-augmented,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0
Modern-augmented,tdc_caco2_wang,regression,8,-0.0,-0.0,8,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0
Modern-augmented,tdc_caco2_wang,regression,16,1.0606018056124555,0.3825312413287425,16,0.8366407419411673,0.8366407419411673,rdkit2d__random_forest,0.4666666666666667,0.26666666666666666,1.2,2
Modern-augmented,tdc_caco2_wang,regression,32,0.953271014705891,0.2750558731078758,32,0.8366407419411673,0.5665095065529053,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
