design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap
component_ablation,+ChemBERTa,bace,classification,53,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8355965574635651,0.9002151585271789,0.9002151585271789,0.06461860106361383,0.06461860106361383,0.0,0.1251928307554906,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,9.28718790062703,0.006957822082963463,25.048159498668465,1.0,multiview__random_forest,0.9002151585271789,0.0
component_ablation,+ChemBERTa,bace,classification,53,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,morgan512__extra_trees,0.8355965574635651,0.9034882068769536,0.9036150692160922,0.06801851175252716,0.06789164941338854,0.00012686233913861145,0.1285927414444039,0.0009865435460248964,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,39.25683370081242,0.0017294224473326163,6.225920810397418,0.9981348851089219,multiview__extra_trees,0.9034882068769536,0.0
component_ablation,+ChemBERTa,bace,classification,53,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,maccs__random_forest,0.7707442151344589,0.8545841150719199,0.8591619762351469,0.088417761100688,0.083839899937461,0.004577861163227004,0.09248280175109436,0.04949959426508544,0,-0.23076923076923078,9,0.1111111111111111,0.21129556207681208,-0.12702407409993294,11.992030099849217,0.00699130165946758,25.16868597408329,0.9482246428066207,multiview__random_forest,0.8545841150719199,0.0
component_ablation,+ChemBERTa,bace,classification,53,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,maccs__extra_trees,0.7707442151344589,0.8587742338961851,0.8694684177611007,0.09872420262664183,0.08803001876172623,0.010694183864915607,0.10278924327704819,0.10403991238643033,0,-0.10344827586206896,18,0.05555555555555555,0.12682797485739125,-0.08162471683651948,55.85844089981401,0.0015759483677608218,5.673414123938959,0.8916761687571264,multiview__extra_trees,0.8587742338961851,0.0
component_ablation,+ChemBERTa,bace,classification,71,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__random_forest,0.8079205440918636,0.8868562510837523,0.889187522879217,0.08126697878735334,0.07893570699188868,0.0023312717954646622,0.0900622314702425,0.025885121403071757,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,12.616713299939873,0.006256439780736308,22.52318321065071,0.9713134186818392,multiview__random_forest,0.8868562510837523,0.0
component_ablation,+ChemBERTa,bace,classification,71,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,rdkit2d__extra_trees,0.8079205440918636,0.8864131167755237,0.8911719939117199,0.08325144981985622,0.07849257268366006,0.00475887713619616,0.09204670250274538,0.051700680271544994,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,57.95294270047452,0.0013544191032600897,4.875908771736322,0.9428373061791276,multiview__extra_trees,0.8864131167755237,0.0
component_ablation,+ChemBERTa,bace,classification,71,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.7969753086419754,0.8783389450056117,0.8783389450056117,0.0813636363636363,0.0813636363636363,0.0,0.13629068462401794,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.504549000062978,0.007745562076310797,27.88402347471887,1.0,multiview__random_forest,0.8783389450056117,0.0
component_ablation,+ChemBERTa,bace,classification,71,2,32,32,shared_morgan_linear,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__extra_trees,0.7969753086419754,0.8787149270482604,0.8836083052749719,0.0866329966329965,0.08173961840628496,0.004893378226711542,0.14156004489337815,0.0345675097119574,0,-0.10344827586206896,9,0.1111111111111111,0.12682797485739125,-0.0179997334931948,51.34085539978696,0.0015920969327407066,5.7315489578665435,0.9435159994817983,multiview__extra_trees,0.8836083052749719,0.004893378226711542
component_ablation,+ChemBERTa,bace,classification,71,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.7570726817042608,0.8709874686716791,0.8709874686716791,0.1139147869674183,0.1139147869674183,0.0,0.1139147869674183,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,9.797740200185215,0.011626638861608606,41.855899901790984,1.0,multiview__random_forest,0.8709874686716791,0.0
component_ablation,+ChemBERTa,bace,classification,71,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7570726817042608,0.8735438596491228,0.8735438596491228,0.11647117794486206,0.11647117794486206,0.0,0.11647117794486206,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,39.22707899985835,0.0029691524557635975,10.68894884074895,1.0,multiview__extra_trees,0.8735438596491228,0.0
component_ablation,+ChemBERTa,bbbp,classification,11,1,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,maccs__random_forest,0.7910016162145633,0.8727820731227887,0.8776132442231249,0.08661162800856159,0.08178045690822533,0.004831171100336262,0.08661162800856159,0.05577970546637132,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,9.759285000618545,0.008379759060529748,30.167132617907093,0.9442202945329846,multiview__random_forest,0.8728869086620363,0.00010483553924767186
component_ablation,+ChemBERTa,bbbp,classification,11,1,32,32,shared_morgan_linear,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__extra_trees,0.7910016162145633,0.889957628969554,0.8934521469444808,0.1024505307299175,0.09895601275499066,0.0034945179749268362,0.1024505307299175,0.03410932037145866,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,36.0155064004357,0.002747594651446954,9.891340745209035,0.9658906796282084,rdkit2d__extra_trees,0.889957628969554,0.0
component_ablation,+ChemBERTa,bbbp,classification,11,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.7658102907133626,0.8939116356354649,0.8939116356354649,0.12810134492210234,0.12810134492210234,0.0,0.12810134492210234,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.160689400101544,0.01147790609789184,41.320461952410625,1.0,multiview__random_forest,0.8939116356354649,0.0
component_ablation,+ChemBERTa,bbbp,classification,11,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7658102907133626,0.913268856603184,0.913268856603184,0.14745856588982142,0.14745856588982142,0.0,0.14745856588982142,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,39.5210601001163,0.003731138929883804,13.432100147581693,1.0,rdkit2d__extra_trees,0.905585616292446,-0.007683240310737971
component_ablation,+ChemBERTa,bbbp,classification,11,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,rdkit2d__random_forest,0.8544578740506517,0.9349788705339992,0.9364195159431424,0.08196164189249078,0.08052099648334754,0.0014406454091432375,0.0937306066964152,0.015370063844716007,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,11.687235100078395,0.006889653180914229,24.802751451291225,0.9824229313142246,multiview__random_forest,0.9349788705339992,0.0
component_ablation,+ChemBERTa,bbbp,classification,11,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8544578740506517,0.9422485889062916,0.9422485889062916,0.08779071485563994,0.08779071485563994,0.0,0.09955967965956436,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,40.56820300006075,0.0021640276956686614,7.790499704407181,1.0,rdkit2d__extra_trees,0.9315582611779308,-0.01069032772836076
component_ablation,+ChemBERTa,bbbp,classification,23,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8056371922650994,0.9393048811653462,0.9393048811653462,0.13366768890024672,0.13366768890024672,0.0,0.13572280432745532,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.083801699802278,0.01325568400485976,47.720462417495135,1.0,multiview__random_forest,0.9393048811653462,0.0
component_ablation,+ChemBERTa,bbbp,classification,23,1,32,32,shared_morgan_linear,rdkit2d__extra_trees,rdkit2d,extra_trees,multiview__extra_trees,0.8056371922650994,0.9404123008774172,0.9411363829968482,0.13549919073174876,0.13477510861231778,0.0007240821194309799,0.13755430615895736,0.005263972751161775,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,35.85234760027379,0.0037591710901321443,13.53301592447572,0.9946561886051078,multiview__extra_trees,0.9411363829968482,0.0007240821194309799
