candidate,representation,family,pool,pool_order
morgan512__lightgbm,morgan512,lightgbm,Full modern-augmented,17
maccs__linear,maccs,linear,Full modern-augmented,3
maccs__random_forest,maccs,random_forest,Full modern-augmented,11
maccs__lightgbm,maccs,lightgbm,Full modern-augmented,19
rdkit2d__linear,rdkit2d,linear,Full modern-augmented,5
rdkit2d__random_forest,rdkit2d,random_forest,Full modern-augmented,13
rdkit2d__lightgbm,rdkit2d,lightgbm,Full modern-augmented,21
multiview__linear,multiview,linear,Full modern-augmented,7
multiview__random_forest,multiview,random_forest,Full modern-augmented,15
multiview__lightgbm,multiview,lightgbm,Full modern-augmented,23
morgan512__extra_trees,morgan512,extra_trees,Full modern-augmented,25
maccs__extra_trees,maccs,extra_trees,Full modern-augmented,27
rdkit2d__extra_trees,rdkit2d,extra_trees,Full modern-augmented,29
multiview__extra_trees,multiview,extra_trees,Full modern-augmented,31
chemberta_mtr__linear,chemberta_mtr,linear,Full modern-augmented,4
chemberta_mtr__linear_alt,chemberta_mtr,linear_alt,Full modern-augmented,10
chemberta_mtr__linear_strong,chemberta_mtr,linear_strong,Full modern-augmented,16
chemberta_mtr__linear_sparse,chemberta_mtr,linear_sparse,Full modern-augmented,22
chemberta_mtr__lightgbm,chemberta_mtr,lightgbm,Full modern-augmented,28
chemberta_mlm__linear,chemberta_mlm,linear,Full modern-augmented,6
chemberta_mlm__linear_alt,chemberta_mlm,linear_alt,Full modern-augmented,12
chemberta_mlm__linear_strong,chemberta_mlm,linear_strong,Full modern-augmented,18
chemberta_mlm__linear_sparse,chemberta_mlm,linear_sparse,Full modern-augmented,24
chemberta_mlm__lightgbm,chemberta_mlm,lightgbm,Full modern-augmented,30
molformer__linear,molformer,linear,Full modern-augmented,8
molformer__linear_alt,molformer,linear_alt,Full modern-augmented,14
molformer__linear_strong,molformer,linear_strong,Full modern-augmented,20
molformer__linear_sparse,molformer,linear_sparse,Full modern-augmented,26
molformer__lightgbm,molformer,lightgbm,Full modern-augmented,32
chemprop_dmpnn,dmpnn_graph,chemprop_dmpnn,Full modern-augmented,2
