pool,task,task_type,anchor_scheme,K_high,K_low,delta_CF_endpoint,positive_seed_deltas,negative_seed_deltas,seed_11,seed_23,seed_37,seed_53,seed_71
Modern-augmented,bace,classification,fixed_morgan_rf,32,4,-0.008241671448610965,3,1,0.0,0.005373827835121044,0.008823620531999995,0.0016812354312354023,-0.05708704104141127
Modern-augmented,bace,classification,shared_morgan_linear,32,4,-0.008241671448610965,3,1,0.0,0.005373827835121044,0.008823620531999995,0.0016812354312354023,-0.05708704104141127
Modern-augmented,bbbp,classification,fixed_morgan_rf,32,4,-0.006395696357411581,1,4,-0.01404919568042388,-0.006257026541264292,0.0004654100214135739,-0.0022530266041960547,-0.009884642982587252
Modern-augmented,bbbp,classification,shared_morgan_linear,32,4,-0.006395696357411581,1,4,-0.01404919568042388,-0.006257026541264292,0.0004654100214135739,-0.0022530266041960547,-0.009884642982587252
Modern-augmented,clintox,classification,fixed_morgan_rf,32,4,0.004768010451661064,2,0,0.0,0.0,0.0,0.020146198830409356,0.0036938534278959656
Modern-augmented,clintox,classification,shared_morgan_linear,32,4,0.004768010451661064,2,0,0.0,0.0,0.0,0.020146198830409356,0.0036938534278959656
Modern-augmented,esol,regression,fixed_morgan_rf,32,4,-0.04858284567397866,2,3,0.199358640250743,-0.10716294400770421,-0.1000120386200974,0.010533210525392578,-0.2456310965182273
Modern-augmented,esol,regression,shared_morgan_linear,32,4,-0.04858284567397866,2,3,0.199358640250743,-0.10716294400770421,-0.1000120386200974,0.010533210525392578,-0.2456310965182273
Modern-augmented,lipo,regression,fixed_morgan_rf,32,4,-0.037798151465111236,0,3,0.0,0.0,-0.06488405141541013,-0.09871804521769656,-0.025388660692449456
Modern-augmented,lipo,regression,shared_morgan_linear,32,4,-0.037798151465111236,0,3,0.0,0.0,-0.06488405141541013,-0.09871804521769656,-0.025388660692449456
Modern-augmented,tdc_caco2_wang,regression,fixed_morgan_rf,32,4,0.00886203033788974,5,0,0.002673243533390398,0.013290377244109955,0.002673243533390398,0.002673243533390398,0.023000043845167555
Modern-augmented,tdc_caco2_wang,regression,shared_morgan_linear,32,4,0.00886203033788974,5,0,0.002673243533390398,0.013290377244109955,0.002673243533390398,0.002673243533390398,0.023000043845167555
