design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high
component_ablation,+ChemBERTa,tdc_caco2_wang,regression,16,shared_morgan_linear,0.820127766551552,5,15,0.8179497797583581,0.822371017772731,0.7803594040670179,5,15,0.772530666976657,0.7910845672405584,0.03976836248453412,5,15,0.029717972607476932,0.04669335361733178,0.046881004383342244,5,15,0.035455748029565776,0.05530074700869948,0.4256410256410256,5,15,0.26153846153846155,0.5897435897435898,0.15305482526716346,5,15,0.07121141036228741,0.24160671680358678,0.016783847811387045,5,15,0.008094590998574434,0.022234739400067784,3.082313440002809,5,15,3.054342913317181,3.106994419952386,0.25338639825490267,5,15,0.2500554424771148,0.25888917663891264,912.1910337176496,5,15,899.9934617711394,932.0010359000856,0.9529378632518004,5,15,0.9445542699294481,0.9644439685015334
component_ablation,+ChemBERTa,tdc_caco2_wang,regression,32,shared_morgan_linear,0.8370079141306309,5,15,0.8347317703405291,0.839566858461264,0.8062071151027533,5,15,0.8001998217201862,0.8119647514548479,0.0308007990278776,5,15,0.023445205414956427,0.039318062060974955,0.035085269965888365,5,15,0.02613784802545214,0.045286638519977114,0.4850574712643678,5,15,0.33793103448275863,0.632183908045977,0.41055997574077063,5,15,0.2801287598869551,0.5609876149310596,0.012496239947840392,5,15,0.006738603595745829,0.018503533330407343,16.389913260020933,5,15,15.825441846713264,16.954384673328597,0.04942796994367206,5,15,0.04752630313072602,0.05127215175987158,177.94069179721944,5,15,171.09469127061362,184.57974633553766,0.9647787724312128,5,15,0.954321179743616,0.9738621519745188
component_ablation,+D-MPNN,bace,classification,16,shared_morgan_linear,0.0814455170594867,5,15,0.07452290873020054,0.08861936082704684,0.07292746646656958,5,15,0.06571868960453829,0.08305920110220266,0.008518050592917128,5,15,0.0053806201245849405,0.011189772928244954,0.04556305647193702,5,15,0.02609362519500278,0.06391823976327388,0.26153846153846155,5,15,-0.1487179487179487,0.6717948717948719,0.10693404842527639,5,15,-0.02045992280780534,0.31050277180957686,0.00033733783105648714,5,15,-0.00017965729670983422,0.0009660219506316903,121.70142133329841,5,15,121.53630164656013,121.93171210652994,0.0005994328876388358,5,15,0.0005410753117791659,0.0006775329968406333,2.1579583954998087,5,15,1.946641254875099,2.4391187886262795,0.8883056337842268,5,15,0.8481963156709552,0.9348057222789524
component_ablation,+D-MPNN,bace,classification,32,shared_morgan_linear,0.08439441698467043,5,15,0.07875139811661615,0.09082936974823623,0.07776728701170824,5,15,0.070512633158091,0.08612085135534624,0.006627129972962198,5,15,0.004440932178661846,0.009050423780800291,0.033807219293859055,5,15,0.02115117998730264,0.04822122100390443,0.632183908045977,5,15,0.4114942528735632,0.8528735632183908,0.36032929083894333,5,15,0.21108325848217319,0.4565269604601103,0.005044368168216377,5,15,0.0020005332150140557,0.0080882031214187,149.67342039998624,5,15,147.27080692010546,152.076033879867,0.0005204203193900738,5,15,0.0004689825515800456,0.0005707929626336722,1.8735131498042654,5,15,1.6928270629537898,2.05485466548122,0.9138825262235976,5,15,0.8847388617609975,0.9430261906861979
component_ablation,+D-MPNN,bbbp,classification,16,shared_morgan_linear,0.12017150830596797,5,15,0.1134303074814085,0.12451579647751168,0.11562205299088094,5,15,0.10761748503411801,0.12304148847695881,0.004549455315087052,5,15,0.0013175419562656183,0.007686851054797236,0.023472464393438586,5,15,0.006624933437663415,0.04086045045444265,0.9179487179487179,5,15,0.7538461538461539,1.0,0.5444944367179437,5,15,0.39892049381336914,0.7745951851800135,0.0035970246961518405,5,15,0.0007782653771320739,0.006727165785956032,181.82223786022126,5,15,175.49418642686604,187.32277119353722,0.000635989890534689,5,15,0.0005859345234365115,0.0006860452576328665,2.2895636059248803,5,15,2.1093642843714413,2.4697629274783193,0.9616997656279642,5,15,0.9352028673072882,0.9886821216170812
component_ablation,+D-MPNN,bbbp,classification,32,shared_morgan_linear,0.12270534818392483,5,15,0.1174143898984192,0.126753413323883,0.11748934011073928,5,15,0.11208221360041486,0.12278754399692823,0.005216008073185533,5,15,0.002070972637934535,0.009633145314027666,0.022405517751938817,5,15,0.00778786027032718,0.043412625321456795,0.7057471264367816,5,15,0.4850574712643678,0.9264367816091955,0.45791514191487376,5,15,0.2441351978813029,0.6716950859484447,0.0002282646939484396,5,15,-0.0035166398315877277,0.004275971399718611,199.06530510688123,5,15,193.16802170698065,204.89921542673451,0.0005906210498687071,5,15,0.000550681721407562,0.0006256152263923017,2.126235779527345,5,15,1.982454197067223,2.252214815012286,0.9525484822464833,5,15,0.9055917592640446,0.9836324460125236
component_ablation,+D-MPNN,clintox,classification,16,shared_morgan_linear,0.18364190098355843,5,15,0.17055376777221126,0.19623524512270868,0.17602339254329571,5,15,0.16206989090814902,0.18853492747513814,0.007618508440262728,5,15,0.0015717509624319614,0.014105237009994508,0.025278277837202295,5,15,0.006297034968728905,0.04425952070567568,0.8358974358974359,5,15,0.6717948717948719,1.0,0.7754002023757991,5,15,0.5882337043556316,0.9577365972212526,0.004768010451661064,5,15,0.0,0.012826489983824806,119.51345426666471,5,15,119.18558534001932,119.87598078672696,0.0014730074926068684,5,15,0.001357356217074635,0.0015796248824479643,5.302826973384727,5,15,4.886482381468686,5.686649576812671,0.9597062391081185,5,15,0.9284540971547631,0.9909583810614737
component_ablation,+D-MPNN,clintox,classification,32,shared_morgan_linear,0.1878239247825148,5,15,0.176359990424661,0.19954858445149165,0.17196412200784697,5,15,0.16039414732403007,0.18317115530325698,0.015859802774667857,5,15,0.008574749045441872,0.02314485650389385,0.0530201491627829,5,15,0.029317817535331907,0.0767224807902339,0.5586206896551724,5,15,0.33793103448275863,0.7793103448275862,0.3583175718351309,5,15,0.22725010614788207,0.45693629601728414,0.008827280987109802,5,15,0.002242504787362854,0.015908097104535397,145.66801899344816,5,15,143.95591738687364,147.52442704681306,0.0011814703453863653,5,15,0.0010989240363672597,0.001264016654405471,4.253293243390916,5,15,3.956126530922135,4.550459955859695,0.9165338533784118,5,15,0.8798704982876661,0.9526691965766203
component_ablation,+D-MPNN,esol,regression,16,shared_morgan_linear,2.2435799731699544,5,15,2.2250072796385463,2.262263223082029,2.1907526338180223,5,15,2.1907526338180223,2.1907526338180223,0.0528273393519319,5,15,0.0342546458205243,0.07140003288333951,0.022997741242981366,5,15,0.014243672171057356,0.03175181031490538,-0.1487179487179487,5,15,-0.23076923076923075,0.01538461538461539,-0.012912886597314719,5,15,-0.024183127338314046,0.0011749143289344409,0.010533210525392578,5,15,0.010533210525392578,0.010533210525392578,113.5344074999642,5,15,112.13744483316161,115.64749766013897,0.019350149784921063,5,15,0.019077947800411908,0.019539374259222753,69.66053922571584,5,15,68.68061208148286,70.34174733320192,0.9770022587570082,5,15,0.9682481896850799,0.9857563278289364
component_ablation,+D-MPNN,esol,regression,32,shared_morgan_linear,2.259489925753526,5,15,2.2396171744763698,2.279362677030682,2.1787075479202,5,15,2.158786832845576,2.195457016190524,0.08078237783332574,5,15,0.04608772865702303,0.11572280028362023,0.03751809869595725,5,15,0.019911538208173818,0.055124659183740675,0.04367816091954023,5,15,-0.10344827586206898,0.19080459770114944,0.028749480458590902,5,15,-0.0034871777686935985,0.06507631618651771,0.02756121354314119,5,15,-0.0062005456959468,0.05486733544761552,124.82535278666765,5,15,123.5402315065614,126.23879532684805,0.017490058054243116,5,15,0.017249929099503507,0.017751355016486545,62.964208995275214,5,15,62.09974475821262,63.90487805935156,0.9621370192757649,5,15,0.9445304587879726,0.9797435797635572
